id,type,platform,external_id,title,url,date_published,date_ingested,study_design,sample_size,model_system,raw_metadata,notes
LC-SRC-000001,article,pubmed,39240417,Towards an understanding of physical activity-induced post-exertional malaise,https://pubmed.ncbi.nlm.nih.gov/39240417/,2025-02,2026-05-05,review,,human,Haunhorst S Dudziak D Scheibenbogen C — Infection 2025,LC-PHE-0001 mito post-viral primary; pmid_verified 2026-05-05
LC-SRC-000002,article,pubmed,39523946,Blood Pressure Regulation in Post-COVID POTS Beyond Sinus Tachycardia,https://pubmed.ncbi.nlm.nih.gov/39523946/,2024-12,2026-05-05,observational,,human,Johansson M Stahlberg M Ricci F — Hypertension 2024,LC-PHE-0002 POTS primary; pmid_verified 2026-05-05
LC-SRC-000003,article,pubmed,36339677,Postural orthostatic tachycardia syndrome and post-acute COVID-19,https://pubmed.ncbi.nlm.nih.gov/36339677/,2022-06-30,2026-05-05,review,,human,Amekran Y Damoun N El Hangouche AJ — Glob Cardiol Sci Pract 2022,LC-PHE-0002 supporting review; pmid_verified 2026-05-05
LC-SRC-000004,article,pubmed,37389095,Immunological dysfunction and mast cell activation syndrome in long COVID,https://pubmed.ncbi.nlm.nih.gov/37389095/,2023-03,2026-05-05,review,,human,Sumantri S Rengganis I — Asia Pac Allergy 2023,LC-PHE-0003 LC-MCAS primary; pmid_verified 2026-05-05
LC-SRC-000005,article,pubmed,34563706,Mast cell activation symptoms are prevalent in Long-COVID,https://pubmed.ncbi.nlm.nih.gov/34563706/,2021-11,2026-05-05,observational,,human,Weinstock LB Brook JB Walters AS — Int J Infect Dis 2021,LC-PHE-0003 prevalence anchor; pmid_verified 2026-05-05
LC-SRC-000006,article,pubmed,37584410,Are fibrinaloid microclots a cause of autoimmunity in Long Covid and other post-infection,https://pubmed.ncbi.nlm.nih.gov/37584410/,2023-08-16,2026-05-05,review,,human,Kell DB Pretorius E — Biochem J 2023,LC-PHE-0006 microclot mechanism primary; pmid_verified 2026-05-05
LC-SRC-000007,article,pubmed,39434957,Fibrinaloid microclots in long COVID assessing the actual evidence properly,https://pubmed.ncbi.nlm.nih.gov/39434957/,2024-10,2026-05-05,review,,human,Kell DB Khan MA Pretorius E — Res Pract Thromb Haemost 2024,LC-PHE-0006 evidence review; pmid_verified 2026-05-05
LC-SRC-000008,article,pubmed,38392604,Possible Role of Fibrinaloid Microclots in Postural Orthostatic Tachycardia Syndrome,https://pubmed.ncbi.nlm.nih.gov/38392604/,2024-01-31,2026-05-05,review,,human,Kell DB Khan MA Kane B — J Pers Med 2024,Cross-link LC-PHE-0006 microclots to LC-PHE-0002 POTS; pmid_verified 2026-05-05
LC-SRC-000009,article,pubmed,37804660,Low-dose naltrexone use for the management of post-acute sequelae of COVID-19,https://pubmed.ncbi.nlm.nih.gov/37804660/,2023-11,2026-05-05,observational,,human,Bonilla H Tian L Marconi VC — Int Immunopharmacol 2023,Calibration anchor candidate LDN; pmid_verified 2026-05-05
LC-SRC-000010,article,pubmed,35814187,Safety and efficacy of low dose naltrexone in a long covid cohort,https://pubmed.ncbi.nlm.nih.gov/35814187/,2022-10,2026-05-05,interventional,,human,O'Kelly B Vidal L McHugh T — Brain Behav Immun Health 2022,Calibration anchor pre-post LDN data; pmid_verified 2026-05-05
LC-SRC-000011,article,pubmed,38740499,Low-dose naltrexone for post-COVID fatigue syndrome a study protocol for a double-blind,https://pubmed.ncbi.nlm.nih.gov/38740499/,2024-05-13,2026-05-05,protocol,,human,Naik H Cooke E Boulter T — BMJ Open 2024,Active LDN RCT protocol; pmid_verified 2026-05-05
