id,gene_symbol,ensembl_id,sfari_score,genetic_evidence_strength,opentargets_score,gnomad_notes,disgenet_score,function_summary,created_at,last_updated,notes,associated_phenotype_ids_legacy,linked_intervention_ids_legacy
GEN-0001,FOLR1,ENSG00000110195,S,4,0.62,,,Folate receptor 1; transports folate across blood-brain barrier; target of autoantibodies in cerebral folate deficiency.,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,Calibration target,PHE-0001,INT-0001
GEN-0002,MTHFR,ENSG00000177000,3,3,0.45,,,Methylenetetrahydrofolate reductase; common C677T variant reduces enzyme activity; affects folate metabolism and methylation.,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,Common variant; population-wide relevance,PHE-0001;PHE-0002,INT-0008
GEN-0003,SHANK3,ENSG00000251322,1,5,0.5283,,,Postsynaptic scaffolding protein; haploinsufficiency causes Phelan-McDermid syndrome; ~75% of carriers have ASD.,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,Highest-confidence autism gene,PHE-0005,
GEN-0004,MECP2,ENSG00000169057,S,5,0.4929,,,Methyl-CpG binding protein; loss-of-function causes Rett syndrome; gain-of-function causes MECP2 duplication syndrome.,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,Rett + duplication syndrome,,
GEN-0005,FMR1,ENSG00000102081,S,5,0.85,,,Fragile X mental retardation 1; CGG expansion silences gene; ~50% of Fragile X individuals meet ASD criteria.,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,Fragile X,PHE-0006,
GEN-0006,TSC1,ENSG00000165699,S,5,0.83,,,Tuberous sclerosis 1; mTOR pathway negative regulator; TSC variants ~50% have ASD.,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,TSC + mTOR pathway,PHE-0005,
GEN-0007,TSC2,ENSG00000103197,S,5,0.4385,,,Tuberous sclerosis 2; mTOR pathway negative regulator; TSC variants ~50% have ASD.,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,TSC + mTOR pathway,PHE-0005,
GEN-0008,PTEN,ENSG00000171862,1,4,0.3679,,,Phosphatase and tensin homolog; mTOR pathway regulator; PTEN variants associated with macrocephaly + autism.,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,PTEN hamartoma + autism,PHE-0005,
GEN-0009,CHD8,ENSG00000100888,1,5,0.7932,,,Chromodomain helicase DNA binding protein 8; one of the most frequently disrupted genes in autism; macrocephaly + GI symptoms common.,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,Top de novo loss-of-function autism gene,,
GEN-0010,NRF2 (NFE2L2),ENSG00000116044,Not in SFARI,3,0.41,,,Nuclear factor erythroid 2-related factor 2; master regulator of antioxidant response; activated by sulforaphane.,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,Mechanism target for sulforaphane,PHE-0002,INT-0002
GEN-0011,ABAT,ENSG00000183044,2,2,,,,4-aminobutyrate aminotransferase,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,"SFARI category: Rare Single Gene Mutation, Genetic Association; reports: 9",,
GEN-0012,ABCA10,ENSG00000154263,2,1,,,,"ATP-binding cassette, sub-family A (ABC1), member 10",2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,SFARI category: Rare Single Gene Mutation; reports: 4,,
GEN-0013,ABCA13,ENSG00000179869,2,4,,,,ATP binding cassette subfamily A member 13,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,"SFARI category: Rare Single Gene Mutation, Functional; reports: 16",,
GEN-0014,ABCA2,ENSG00000107331,3,2,,,,ATP binding cassette subfamily A member 2,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,SFARI category: Rare Single Gene Mutation; reports: 8,,
GEN-0015,ABCA7,ENSG00000064687,2,2,,,,"ATP-binding cassette, sub-family A (ABC1), member 7",2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,SFARI category: Rare Single Gene Mutation; reports: 7,,
GEN-0016,ABCE1,ENSG00000164163,1,2,,,,ATP binding cassette subfamily E member 1,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,SFARI category: Rare Single Gene Mutation; reports: 5,,
GEN-0017,ABL2,ENSG00000143322,3,3,,,,"ABL proto-oncogene 2, non-receptor tyrosine kinase",2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,"SFARI category: Rare Single Gene Mutation, Functional; reports: 10",,
GEN-0018,ACAP2,ENSG00000114331,2,2,,,,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 2",2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,"SFARI category: Rare Single Gene Mutation, Functional; reports: 5",,
GEN-0019,ACE,ENSG00000159640,2,2,,,,angiotensin I converting enzyme,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,"SFARI category: Rare Single Gene Mutation, Genetic Association; reports: 6",,
GEN-0020,ACHE,ENSG00000087085,2,2,0.2954,,,Acetylcholinesterase (Yt blood group),2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,SFARI category: Rare Single Gene Mutation; reports: 7,,
GEN-0021,ACTB,ENSG00000075624,S,3,,,,actin beta,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,"SFARI category: Rare Single Gene Mutation, Syndromic; reports: 12",,
GEN-0022,ACTL6B,ENSG00000077080,S,4,0.5215,,,actin like 6B,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,"SFARI category: Rare Single Gene Mutation, Syndromic, Functional; reports: 16",,
GEN-0023,ACTN4,ENSG00000130402,2,2,,,,actinin alpha 4,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,SFARI category: Rare Single Gene Mutation; reports: 7,,
GEN-0024,ACY1,ENSG00000243989,S,3,,,,aminoacylase 1,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,"SFARI category: Rare Single Gene Mutation, Syndromic; reports: 13",,
GEN-0025,ADA,ENSG00000196839,2,2,,,,adenosine deaminase,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,"SFARI category: Rare Single Gene Mutation, Genetic Association; reports: 8",,
GEN-0026,ADCY1,ENSG00000164742,3,1,,,,adenylate cyclase 1,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,SFARI category: Rare Single Gene Mutation; reports: 4,,
GEN-0027,ADCY3,ENSG00000138031,2,1,,,,adenylate cyclase 3,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,SFARI category: Rare Single Gene Mutation; reports: 4,,
GEN-0028,ADCY5,ENSG00000173175,2,3,,,,Adenylate cyclase 5,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,SFARI category: Rare Single Gene Mutation; reports: 13,,
GEN-0029,ADGRB1,ENSG00000181790,3,3,,,,adhesion G protein-coupled receptor B1,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,"SFARI category: Rare Single Gene Mutation, Functional; reports: 11",,
GEN-0030,ADGRL1,ENSG00000072071,S,2,,,,adhesion G protein-coupled receptor L1,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,"SFARI category: Rare Single Gene Mutation, Syndromic; reports: 5",,
GEN-0031,ADK,ENSG00000156110,2,1,,,,adenosine kinase,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,SFARI category: Rare Single Gene Mutation; reports: 2,,
