id,upstream_hypothesis_id,downstream_hypothesis_id,relation_type,polarity,evidence_for_count,evidence_against_count,evidence_strength_aggregate,context_scope,status,created_at,last_updated
HHE-00001,HYP-0005,HYP-0007,upstream_of,supporting,,,,,active,2026-04-27T22:28:44+00:00,2026-04-27T22:28:44+00:00
HHE-00002,HYP-0005,HYP-0057,upstream_of,supporting,,,,,active,2026-04-27T22:28:44+00:00,2026-04-27T22:28:44+00:00
HHE-00003,HYP-0007,HYP-0056,preconditions,supporting,,,,,active,2026-04-27T22:28:44+00:00,2026-04-27T22:28:44+00:00
HHE-00004,HYP-0007,HYP-0057,preconditions,supporting,,,,,active,2026-04-27T22:28:44+00:00,2026-04-27T22:28:44+00:00
HHE-00005,HYP-0007,HYP-0058,preconditions,supporting,,,,,active,2026-04-27T22:28:44+00:00,2026-04-27T22:28:44+00:00
HHE-00006,HYP-0007,HYP-0059,upstream_of,supporting,,,,,active,2026-04-27T22:28:44+00:00,2026-04-27T22:28:44+00:00
HHE-00007,HYP-0057,HYP-0060,upstream_of,supporting,,,,,active,2026-04-27T22:28:44+00:00,2026-04-27T22:28:44+00:00
HHE-00008,HYP-0059,HYP-0008,exacerbates,supporting,,,,,active,2026-04-27T22:28:44+00:00,2026-04-27T22:28:44+00:00
HHE-00009,HYP-0022,HYP-0007,upstream_of,supporting,,,,,active,2026-04-27T22:28:44+00:00,2026-04-27T22:28:44+00:00
HHE-00010,HYP-0022,HYP-0056,upstream_of,supporting,,,,,active,2026-04-27T22:28:44+00:00,2026-04-27T22:28:44+00:00
HHE-00011,HYP-0023,HYP-0007,upstream_of,supporting,,,,,active,2026-04-27T22:28:44+00:00,2026-04-27T22:28:44+00:00
HHE-00012,HYP-0051,HYP-0008,preconditions,supporting,,,,,active,2026-04-27T22:28:44+00:00,2026-04-27T22:28:44+00:00
HHE-00013,HYP-0051,HYP-0035,comorbid_with,supporting,,,,,active,2026-04-27T22:28:44+00:00,2026-04-27T22:28:44+00:00
HHE-00014,HYP-0044,HYP-0066,upstream_of,supporting,,,,,active,2026-04-27T22:28:44+00:00,2026-04-27T22:28:44+00:00
HHE-00015,HYP-0044,HYP-0068,upstream_of,supporting,,,,,active,2026-04-27T22:28:44+00:00,2026-04-27T22:28:44+00:00
HHE-00016,HYP-0044,HYP-0067,upstream_of,supporting,,,,,active,2026-04-27T22:28:44+00:00,2026-04-27T22:28:44+00:00
HHE-00017,HYP-0044,HYP-0069,upstream_of,supporting,,,,,active,2026-04-27T22:28:44+00:00,2026-04-27T22:28:44+00:00
HHE-00018,HYP-0067,HYP-0066,comorbid_with,supporting,,,,,active,2026-04-27T22:28:44+00:00,2026-04-27T22:28:44+00:00
HHE-00019,HYP-0006,HYP-0070,upstream_of,supporting,,,,,active,2026-04-27T22:28:44+00:00,2026-04-27T22:28:44+00:00
HHE-00020,HYP-0006,HYP-0031,comorbid_with,supporting,,,,,active,2026-04-27T22:28:44+00:00,2026-04-27T22:28:44+00:00
HHE-00021,HYP-0006,HYP-0033,comorbid_with,supporting,,,,,active,2026-04-27T22:28:44+00:00,2026-04-27T22:28:44+00:00
HHE-00022,HYP-0036,HYP-0037,upstream_of,supporting,,,,,active,2026-04-27T22:28:44+00:00,2026-04-27T22:28:44+00:00
HHE-00023,HYP-0051,HYP-0036,exacerbates,supporting,,,,,active,2026-04-27T22:28:44+00:00,2026-04-27T22:28:44+00:00
HHE-00024,HYP-0015,HYP-0006,upstream_of,supporting,,,,,active,2026-04-27T22:28:44+00:00,2026-04-27T22:28:44+00:00
HHE-00025,HYP-0003,HYP-0062,modulates,supporting,,,,,active,2026-04-27T22:28:44+00:00,2026-04-27T22:28:44+00:00
HHE-00026,HYP-0045,HYP-0062,upstream_of,supporting,,,,,active,2026-04-27T22:28:44+00:00,2026-04-27T22:28:44+00:00
HHE-00027,HYP-0002,HYP-0063,upstream_of,supporting,,,,,active,2026-04-27T22:28:44+00:00,2026-04-27T22:28:44+00:00
HHE-00028,HYP-0054,HYP-0063,upstream_of,supporting,,,,,active,2026-04-27T22:28:44+00:00,2026-04-27T22:28:44+00:00
HHE-00029,HYP-0039,HYP-0006,exacerbates,supporting,,,,,active,2026-04-27T22:28:44+00:00,2026-04-27T22:28:44+00:00
HHE-00030,HYP-0052,HYP-0006,upstream_of,supporting,,,,,active,2026-04-27T22:28:44+00:00,2026-04-27T22:28:44+00:00
HHE-00031,HYP-0013,HYP-0006,upstream_of,supporting,,,,,active,2026-04-27T22:28:44+00:00,2026-04-27T22:28:44+00:00
HHE-00032,HYP-0004,HYP-0035,upstream_of,supporting,,,,,active,2026-04-27T22:28:44+00:00,2026-04-27T22:28:44+00:00
HHE-00033,HYP-0048,HYP-0035,comorbid_with,supporting,,,,,active,2026-04-27T22:28:44+00:00,2026-04-27T22:28:44+00:00
