id,intervention_id,mechanism_id,relation_type,polarity,evidence_for_count,evidence_against_count,evidence_strength_aggregate,context_scope,status,created_at,last_updated
IME-00001,INT-0001,MEC-0003,modulates,unknown,,,0.7274,,active,2026-04-24T17:07:31+00:00,2026-04-27T20:58:07+00:00
IME-00002,INT-0001,MEC-0004,modulates,unknown,,,0.7014,,active,2026-04-24T17:07:31+00:00,2026-04-27T20:58:07+00:00
IME-00003,INT-0002,MEC-0001,modulates,unknown,,,0.5725,,active,2026-04-24T17:07:31+00:00,2026-04-27T20:58:07+00:00
IME-00004,INT-0002,MEC-0010,modulates,unknown,,,0.5761,,active,2026-04-24T17:07:31+00:00,2026-04-27T20:58:07+00:00
IME-00005,INT-0003,MEC-0003,modulates,unknown,,,0.5545,,active,2026-04-24T17:07:31+00:00,2026-04-27T20:58:07+00:00
IME-00006,INT-0004,MEC-0001,modulates,unknown,,,0.5641,,active,2026-04-24T17:07:31+00:00,2026-04-27T20:58:07+00:00
IME-00007,INT-0004,MEC-0007,modulates,unknown,,,0.4601,,active,2026-04-24T17:07:31+00:00,2026-04-27T20:58:07+00:00
IME-00008,INT-0005,MEC-0007,modulates,unknown,,,0.4274,,active,2026-04-24T17:07:31+00:00,2026-04-27T20:58:07+00:00
IME-00009,INT-0006,MEC-0002,modulates,unknown,,,0.5441,,active,2026-04-24T17:07:31+00:00,2026-04-27T20:58:07+00:00
IME-00010,INT-0006,MEC-0005,modulates,unknown,,,0.3987,,active,2026-04-24T17:07:31+00:00,2026-04-27T20:58:07+00:00
IME-00011,INT-0007,MEC-0002,modulates,unknown,,,0.5347,,active,2026-04-24T17:07:31+00:00,2026-04-27T20:58:07+00:00
IME-00012,INT-0007,MEC-0007,modulates,unknown,,,0.4449,,active,2026-04-24T17:07:31+00:00,2026-04-27T20:58:07+00:00
IME-00013,INT-0007,MEC-0010,modulates,unknown,,,0.5489,,active,2026-04-24T17:07:31+00:00,2026-04-27T20:58:07+00:00
IME-00014,INT-0008,MEC-0003,modulates,unknown,,,0.6994,,active,2026-04-24T17:07:31+00:00,2026-04-27T20:58:07+00:00
IME-00015,INT-0010,MEC-0001,modulates,unknown,,,0.4404,,active,2026-04-24T17:07:31+00:00,2026-04-27T20:58:07+00:00
IME-00016,INT-0010,MEC-0003,modulates,unknown,,,0.4394,,active,2026-04-24T17:07:31+00:00,2026-04-27T20:58:07+00:00
