id,mechanism_id,phenotype_id,relation_type,polarity,evidence_for_count,evidence_against_count,evidence_strength_aggregate,context_scope,status,created_at,last_updated
MPE-00001,MEC-0003,PHE-0001,implicated_in,supporting,,,0.0000,,active,2026-04-27T21:14:42+00:00,2026-04-27T21:15:02+00:00
MPE-00002,MEC-0004,PHE-0001,implicated_in,supporting,,,0.0000,,active,2026-04-27T21:14:42+00:00,2026-04-27T21:15:02+00:00
MPE-00003,MEC-0010,PHE-0002,implicated_in,supporting,,,0.0000,,active,2026-04-27T21:14:42+00:00,2026-04-27T21:15:02+00:00
MPE-00004,MEC-0011,PHE-0002,implicated_in,supporting,,,0.0000,,active,2026-04-27T21:14:42+00:00,2026-04-27T21:15:02+00:00
MPE-00005,MEC-0014,PHE-0002,implicated_in,supporting,,,0.0000,,active,2026-04-27T21:14:42+00:00,2026-04-27T21:15:02+00:00
MPE-00006,MEC-0001,PHE-0002,implicated_in,supporting,,,0.0000,,active,2026-04-27T21:14:42+00:00,2026-04-27T21:15:02+00:00
MPE-00007,MEC-0002,PHE-0003,implicated_in,supporting,,,0.0000,,active,2026-04-27T21:14:42+00:00,2026-04-27T21:15:02+00:00
MPE-00008,MEC-0005,PHE-0003,implicated_in,supporting,,,0.0000,,active,2026-04-27T21:14:42+00:00,2026-04-27T21:15:02+00:00
MPE-00009,MEC-0017,PHE-0003,implicated_in,supporting,,,0.0000,,active,2026-04-27T21:14:42+00:00,2026-04-27T21:15:02+00:00
MPE-00010,MEC-0016,PHE-0003,implicated_in,supporting,,,0.0000,,active,2026-04-27T21:14:42+00:00,2026-04-27T21:15:02+00:00
MPE-00011,MEC-0008,PHE-0004,implicated_in,supporting,,,0.0000,,active,2026-04-27T21:14:42+00:00,2026-04-27T21:15:02+00:00
MPE-00012,MEC-0019,PHE-0004,implicated_in,supporting,,,0.0000,,active,2026-04-27T21:14:42+00:00,2026-04-27T21:15:02+00:00
MPE-00013,MEC-0015,PHE-0005,implicated_in,supporting,,,0.0000,,active,2026-04-27T21:14:42+00:00,2026-04-27T21:15:02+00:00
MPE-00014,MEC-0009,PHE-0005,implicated_in,supporting,,,0.0000,,active,2026-04-27T21:14:42+00:00,2026-04-27T21:15:02+00:00
MPE-00015,MEC-0012,PHE-0005,implicated_in,supporting,,,0.0000,,active,2026-04-27T21:14:42+00:00,2026-04-27T21:15:02+00:00
MPE-00016,MEC-0006,PHE-0005,implicated_in,supporting,,,0.0000,,active,2026-04-27T21:14:42+00:00,2026-04-27T21:15:02+00:00
MPE-00017,MEC-0006,PHE-0006,implicated_in,supporting,,,0.0000,,active,2026-04-27T21:14:42+00:00,2026-04-27T21:15:02+00:00
MPE-00018,MEC-0012,PHE-0006,implicated_in,supporting,,,0.0000,,active,2026-04-27T21:14:42+00:00,2026-04-27T21:15:02+00:00
MPE-00019,MEC-0007,PHE-0007,implicated_in,supporting,,,0.0000,,active,2026-04-27T21:14:42+00:00,2026-04-27T21:15:02+00:00
MPE-00020,MEC-0020,PHE-0007,implicated_in,supporting,,,0.0000,,active,2026-04-27T21:14:42+00:00,2026-04-27T21:15:02+00:00
