id,intervention_id,hypothesis_id,relation_type,polarity,evidence_for_count,evidence_against_count,evidence_strength_aggregate,context_scope,status,created_at,last_updated
IHE-00001,INT-0001,HYP-0001,cause_mitigation,supporting,,,0.8076,,active,2026-04-24T17:07:31+00:00,2026-04-27T21:24:38+00:00
IHE-00002,INT-0008,HYP-0003,cause_mitigation,supporting,,,0.7276,,active,2026-04-24T17:07:31+00:00,2026-04-27T21:24:38+00:00
IHE-00003,INT-0009,HYP-0004,cause_mitigation,supporting,,,0.5992,,active,2026-04-24T17:07:31+00:00,2026-04-27T21:24:38+00:00
IHE-00004,INT-0009,HYP-0005,cause_mitigation,supporting,,,0.6705,,active,2026-04-24T17:07:31+00:00,2026-04-27T21:24:38+00:00
IHE-00005,INT-0052,HYP-0011,cause_mitigation,supporting,,,0.3490,,active,2026-04-24T17:07:31+00:00,2026-04-27T21:24:38+00:00
IHE-00006,INT-0052,HYP-0012,cause_mitigation,supporting,,,0.3490,,active,2026-04-24T17:07:31+00:00,2026-04-27T21:24:38+00:00
IHE-00007,INT-0051,HYP-0013,cause_mitigation,supporting,,,0.2981,,active,2026-04-24T17:07:31+00:00,2026-04-27T21:24:38+00:00
IHE-00008,INT-0053,HYP-0014,cause_mitigation,supporting,,,0.1292,,active,2026-04-24T17:07:31+00:00,2026-04-27T21:24:38+00:00
IHE-00009,INT-0009,HYP-0015,cause_mitigation,supporting,,,0.2253,,active,2026-04-24T17:07:31+00:00,2026-04-27T21:24:38+00:00
IHE-00010,INT-0054,HYP-0016,cause_mitigation,supporting,,,0.1361,,active,2026-04-24T17:07:31+00:00,2026-04-27T21:24:38+00:00
IHE-00011,INT-0050,HYP-0017,cause_mitigation,supporting,,,0.1787,,active,2026-04-24T17:07:31+00:00,2026-04-27T21:24:38+00:00
IHE-00012,INT-0013,HYP-0020,cause_mitigation,supporting,,,0.2128,,active,2026-04-24T17:07:31+00:00,2026-04-27T21:24:38+00:00
IHE-00013,INT-0014,HYP-0021,cause_mitigation,supporting,,,0.2040,,active,2026-04-24T17:07:31+00:00,2026-04-27T21:24:38+00:00
IHE-00014,INT-0025,HYP-0022,cause_mitigation,supporting,,,0.2219,,active,2026-04-24T17:07:31+00:00,2026-04-27T21:24:38+00:00
IHE-00015,INT-0059,HYP-0023,cause_mitigation,supporting,,,0.1718,,active,2026-04-24T17:07:31+00:00,2026-04-27T21:24:38+00:00
IHE-00016,INT-0006,HYP-0026,cause_mitigation,supporting,,,0.1941,,active,2026-04-24T17:07:31+00:00,2026-04-27T21:24:38+00:00
IHE-00017,INT-0036,HYP-0029,cause_mitigation,supporting,,,0.4964,,active,2026-04-24T17:07:31+00:00,2026-04-27T21:24:38+00:00
IHE-00018,INT-0036,HYP-0030,cause_mitigation,supporting,,,0.3575,,active,2026-04-24T17:07:31+00:00,2026-04-27T21:24:38+00:00
IHE-00019,INT-0061,HYP-0034,cause_mitigation,supporting,,,0.4409,,active,2026-04-27T21:14:42+00:00,2026-04-27T21:24:38+00:00
IHE-00020,INT-0066,HYP-0048,cause_mitigation,supporting,,,0.3966,,active,2026-04-27T21:14:42+00:00,2026-04-27T21:24:38+00:00
IHE-00021,INT-0066,HYP-0035,cause_mitigation,supporting,,,0.3966,,active,2026-04-27T21:14:42+00:00,2026-04-27T21:24:38+00:00
IHE-00022,INT-0067,HYP-0049,cause_mitigation,supporting,,,0.1825,,active,2026-04-27T21:14:42+00:00,2026-04-27T21:24:38+00:00
IHE-00023,INT-0068,HYP-0033,cause_mitigation,supporting,,,0.3754,,active,2026-04-27T21:14:42+00:00,2026-04-27T21:24:38+00:00
IHE-00024,INT-0069,HYP-0034,cause_mitigation,supporting,,,0.4192,,active,2026-04-27T21:14:42+00:00,2026-04-27T21:24:38+00:00
IHE-00025,INT-0070,HYP-0048,cause_mitigation,supporting,,,0.3912,,active,2026-04-27T21:14:42+00:00,2026-04-27T21:24:38+00:00
IHE-00026,INT-0070,HYP-0035,cause_mitigation,supporting,,,0.3912,,active,2026-04-27T21:14:42+00:00,2026-04-27T21:24:38+00:00
IHE-00027,INT-0071,HYP-0037,cause_mitigation,supporting,,,0.5375,,active,2026-04-27T21:14:42+00:00,2026-04-27T21:24:38+00:00
IHE-00028,INT-0072,HYP-0038,cause_mitigation,supporting,,,0.3669,,active,2026-04-27T21:14:42+00:00,2026-04-27T21:24:38+00:00
IHE-00029,INT-0073,HYP-0037,cause_mitigation,supporting,,,0.5394,,active,2026-04-27T21:14:42+00:00,2026-04-27T21:24:38+00:00
IHE-00030,INT-0074,HYP-0037,cause_mitigation,supporting,,,0.5627,,active,2026-04-27T21:14:42+00:00,2026-04-27T21:24:38+00:00
IHE-00031,INT-0075,HYP-0036,cause_mitigation,supporting,,,0.4889,,active,2026-04-27T21:14:42+00:00,2026-04-27T21:24:38+00:00
IHE-00032,INT-0075,HYP-0037,cause_mitigation,supporting,,,0.5233,,active,2026-04-27T21:14:42+00:00,2026-04-27T21:24:38+00:00
IHE-00033,INT-0013,HYP-0045,cause_mitigation,supporting,,,0.5469,,active,2026-04-27T21:14:42+00:00,2026-04-27T21:24:38+00:00
IHE-00034,INT-0016,HYP-0046,cause_mitigation,supporting,,,0.5474,,active,2026-04-27T21:14:42+00:00,2026-04-27T21:24:38+00:00
IHE-00035,INT-0015,HYP-0047,cause_mitigation,supporting,,,0.5478,,active,2026-04-27T21:14:42+00:00,2026-04-27T21:24:38+00:00
IHE-00036,INT-0030,HYP-0050,cause_mitigation,supporting,,,0.4929,,active,2026-04-27T21:14:42+00:00,2026-04-27T21:24:38+00:00
IHE-00037,INT-0065,HYP-0032,cause_mitigation,supporting,,,0.6010,,active,2026-04-27T21:14:42+00:00,2026-04-27T21:24:38+00:00
