id,combination_id,intervention_id,role,created_at
CMM-0001,COM-0001,INT-0001,,2026-04-24T17:07:31+00:00
CMM-0002,COM-0001,INT-0003,,2026-04-24T17:07:31+00:00
CMM-0003,COM-0001,INT-0004,,2026-04-24T17:07:31+00:00
CMM-0004,COM-0002,INT-0008,,2026-04-24T17:07:31+00:00
CMM-0005,COM-0004,INT-0009,,2026-04-24T17:07:31+00:00
CMM-0006,COM-0005,INT-0012,core,2026-04-27T22:00:07+00:00
CMM-0007,COM-0005,INT-0011,core,2026-04-27T22:00:07+00:00
CMM-0008,COM-0005,INT-0093,core,2026-04-27T22:00:07+00:00
CMM-0009,COM-0005,INT-0008,core,2026-04-27T22:00:07+00:00
CMM-0010,COM-0005,INT-0003,core,2026-04-27T22:00:07+00:00
CMM-0011,COM-0005,INT-0086,core,2026-04-27T22:00:07+00:00
CMM-0012,COM-0005,INT-0015,adjunct,2026-04-27T22:00:07+00:00
CMM-0013,COM-0005,INT-0016,adjunct,2026-04-27T22:00:07+00:00
CMM-0014,COM-0005,INT-0067,adjunct,2026-04-27T22:00:07+00:00
CMM-0015,COM-0005,INT-0013,adjunct,2026-04-27T22:00:07+00:00
CMM-0016,COM-0005,INT-0066,adjunct,2026-04-27T22:00:07+00:00
CMM-0017,COM-0005,INT-0030,adjunct,2026-04-27T22:00:07+00:00
