id,node_type,node_id,alias,source,created_at
ALS-000001,phenotype,PHE-0001,PHE-0001,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000002,phenotype,PHE-0002,PHE-0002,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000003,phenotype,PHE-0003,PHE-0003,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000004,phenotype,PHE-0004,PHE-0004,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000005,phenotype,PHE-0005,PHE-0005,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000006,phenotype,PHE-0006,PHE-0006,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000007,phenotype,PHE-0007,PHE-0007,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000008,gene,GEN-0001,FOLR1,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000009,gene,GEN-0001,ENSG00000110195,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000010,gene,GEN-0002,MTHFR,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000011,gene,GEN-0002,ENSG00000177000,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000012,gene,GEN-0003,SHANK3,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000013,gene,GEN-0003,ENSG00000251322,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000014,gene,GEN-0004,MECP2,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000015,gene,GEN-0004,ENSG00000169057,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000016,gene,GEN-0005,FMR1,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000017,gene,GEN-0005,ENSG00000102081,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000018,gene,GEN-0006,TSC1,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000019,gene,GEN-0006,ENSG00000165699,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000020,gene,GEN-0007,TSC2,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000021,gene,GEN-0007,ENSG00000103197,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000022,gene,GEN-0008,PTEN,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000023,gene,GEN-0008,ENSG00000171862,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000024,gene,GEN-0009,CHD8,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000025,gene,GEN-0009,ENSG00000100888,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000026,gene,GEN-0010,NRF2 (NFE2L2),legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000027,gene,GEN-0010,ENSG00000116044,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000028,gene,GEN-0011,ABAT,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000029,gene,GEN-0011,ENSG00000183044,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000030,gene,GEN-0012,ABCA10,legacy_v0.1,2026-04-24T17:07:31+00:00
