id,hypothesis_id,mechanism_id,relation_type,polarity,evidence_for_count,evidence_against_count,evidence_strength_aggregate,context_scope,status,created_at,last_updated
HME-00001,HYP-0001,MEC-0003,acts_through,unknown,,,0.7111,,active,2026-04-24T17:07:31+00:00,2026-04-27T22:12:18+00:00
HME-00002,HYP-0001,MEC-0004,acts_through,unknown,,,0.7338,,active,2026-04-24T17:07:31+00:00,2026-04-27T22:12:18+00:00
HME-00003,HYP-0002,MEC-0001,acts_through,unknown,,,0.6895,,active,2026-04-24T17:07:31+00:00,2026-04-27T22:12:18+00:00
HME-00004,HYP-0003,MEC-0003,acts_through,unknown,,,0.6389,,active,2026-04-24T17:07:31+00:00,2026-04-27T22:12:18+00:00
HME-00005,HYP-0005,MEC-0008,acts_through,unknown,,,0.7079,,active,2026-04-24T17:07:31+00:00,2026-04-27T22:12:18+00:00
HME-00006,HYP-0006,MEC-0001,acts_through,unknown,,,0.7111,,active,2026-04-24T17:07:31+00:00,2026-04-27T22:12:18+00:00
HME-00007,HYP-0006,MEC-0010,acts_through,unknown,,,0.7563,,active,2026-04-24T17:07:31+00:00,2026-04-27T22:12:18+00:00
HME-00008,HYP-0007,MEC-0004,acts_through,unknown,,,0.7315,,active,2026-04-24T17:07:31+00:00,2026-04-27T22:12:18+00:00
HME-00009,HYP-0007,MEC-0008,acts_through,unknown,,,0.7431,,active,2026-04-24T17:07:31+00:00,2026-04-27T22:12:18+00:00
HME-00010,HYP-0008,MEC-0002,acts_through,unknown,,,0.7326,,active,2026-04-24T17:07:31+00:00,2026-04-27T22:12:18+00:00
HME-00011,HYP-0017,MEC-0001,acts_through,unknown,,,0.0000,,active,2026-04-24T17:07:31+00:00,2026-04-27T22:12:18+00:00
HME-00012,HYP-0018,MEC-0002,acts_through,unknown,,,0.0000,,active,2026-04-24T17:07:31+00:00,2026-04-27T22:12:18+00:00
HME-00013,HYP-0019,MEC-0002,acts_through,unknown,,,0.0000,,active,2026-04-24T17:07:31+00:00,2026-04-27T22:12:18+00:00
HME-00014,HYP-0022,MEC-0008,acts_through,unknown,,,0.0000,,active,2026-04-24T17:07:31+00:00,2026-04-27T22:12:18+00:00
HME-00015,HYP-0023,MEC-0008,acts_through,unknown,,,0.0000,,active,2026-04-24T17:07:31+00:00,2026-04-27T22:12:18+00:00
HME-00016,HYP-0029,MEC-0009,acts_through,unknown,,,0.1186,,active,2026-04-24T17:07:31+00:00,2026-04-27T22:12:18+00:00
HME-00017,HYP-0030,MEC-0009,acts_through,unknown,,,0.0000,,active,2026-04-24T17:07:31+00:00,2026-04-27T22:12:18+00:00
HME-00018,HYP-0031,MEC-0011,acts_through,supporting,,,0.4013,,active,2026-04-27T21:14:42+00:00,2026-04-27T22:12:18+00:00
HME-00019,HYP-0031,MEC-0010,acts_through,supporting,,,0.4154,,active,2026-04-27T21:14:42+00:00,2026-04-27T22:12:18+00:00
HME-00020,HYP-0032,MEC-0012,acts_through,supporting,,,0.4695,,active,2026-04-27T21:14:42+00:00,2026-04-27T22:12:18+00:00
