id,biomarker_id,mechanism_id,relationship_type,evidence_strength,polarity,created_at,notes
BME-00001,BIO-0001,MEC-0003,indicates_dysfunction,0.50,supporting,2026-04-30T02:06:58+00:00,S-adenosylmethionine (SAM) indicates MEC-0003
BME-00002,BIO-0002,MEC-0003,indicates_dysfunction,0.50,supporting,2026-04-30T02:06:58+00:00,S-adenosylhomocysteine (SAH) indicates MEC-0003
BME-00003,BIO-0003,MEC-0003,indicates_dysfunction,0.50,supporting,2026-04-30T02:06:58+00:00,SAM/SAH ratio indicates MEC-0003
BME-00004,BIO-0004,MEC-0003,indicates_dysfunction,0.50,supporting,2026-04-30T02:06:58+00:00,Plasma methionine indicates MEC-0003
BME-00005,BIO-0005,MEC-0003,indicates_dysfunction,0.50,supporting,2026-04-30T02:06:58+00:00,Homocysteine indicates MEC-0003
BME-00006,BIO-0007,MEC-0003,indicates_dysfunction,0.50,supporting,2026-04-30T02:06:58+00:00,Taurine indicates MEC-0003
BME-00007,BIO-0007,MEC-0007,indicates_dysfunction,0.50,supporting,2026-04-30T02:06:58+00:00,Taurine indicates MEC-0007
BME-00008,BIO-0013,MEC-0003,indicates_dysfunction,0.50,supporting,2026-04-30T02:06:58+00:00,Pyridoxal-5-phosphate (P5P / active B6) indicates MEC-0003
BME-00009,BIO-0013,MEC-0023,indicates_dysfunction,0.50,supporting,2026-04-30T02:06:58+00:00,Pyridoxal-5-phosphate (P5P / active B6) indicates MEC-0023
BME-00010,BIO-0014,MEC-0003,indicates_dysfunction,0.50,supporting,2026-04-30T02:06:58+00:00,Whole-blood histamine indicates MEC-0003
BME-00011,BIO-0014,MEC-0017,indicates_dysfunction,0.50,supporting,2026-04-30T02:06:58+00:00,Whole-blood histamine indicates MEC-0017
BME-00012,BIO-0015,MEC-0003,indicates_dysfunction,0.50,supporting,2026-04-30T02:06:58+00:00,FRAA (folate receptor alpha autoantibody) — blocking indicates MEC-0003
BME-00013,BIO-0015,MEC-0004,indicates_dysfunction,0.50,supporting,2026-04-30T02:06:58+00:00,FRAA (folate receptor alpha autoantibody) — blocking indicates MEC-0004
BME-00014,BIO-0016,MEC-0004,indicates_dysfunction,0.50,supporting,2026-04-30T02:06:58+00:00,FRAA (folate receptor alpha autoantibody) — binding indicates MEC-0004
BME-00015,BIO-0017,MEC-0003,indicates_dysfunction,0.50,supporting,2026-04-30T02:06:58+00:00,CSF 5-MTHF indicates MEC-0003
BME-00016,BIO-0017,MEC-0004,indicates_dysfunction,0.50,supporting,2026-04-30T02:06:58+00:00,CSF 5-MTHF indicates MEC-0004
BME-00017,BIO-0018,MEC-0010,indicates_dysfunction,0.50,supporting,2026-04-30T02:06:58+00:00,Lactate indicates MEC-0010
BME-00018,BIO-0019,MEC-0010,indicates_dysfunction,0.50,supporting,2026-04-30T02:06:58+00:00,Pyruvate indicates MEC-0010
BME-00019,BIO-0020,MEC-0010,indicates_dysfunction,0.50,supporting,2026-04-30T02:06:58+00:00,Lactate-to-pyruvate ratio (L:P) indicates MEC-0010
BME-00020,BIO-0021,MEC-0010,indicates_dysfunction,0.50,supporting,2026-04-30T02:06:58+00:00,Acylcarnitine profile indicates MEC-0010
BME-00021,BIO-0022,MEC-0010,indicates_dysfunction,0.50,supporting,2026-04-30T02:06:58+00:00,Free + total carnitine indicates MEC-0010
BME-00022,BIO-0023,MEC-0010,indicates_dysfunction,0.50,supporting,2026-04-30T02:06:58+00:00,Plasma ammonia indicates MEC-0010
