id,evidence_fragment_id,claim_id,target_type,target_id,effect_direction,weight,context_scope,created_at,notes
EVL-000001,EVD-000001,,intervention,INT-0001,positive,,,2026-04-24T17:07:31+00:00,
EVL-000002,EVD-000001,,hypothesis,HYP-0001,positive,,,2026-04-24T17:07:31+00:00,
EVL-000003,EVD-000002,,intervention,INT-0001,positive,,,2026-04-24T17:07:31+00:00,
EVL-000004,EVD-000002,,hypothesis,HYP-0001,positive,,,2026-04-24T17:07:31+00:00,
EVL-000005,EVD-000003,,intervention,INT-0002,positive,,,2026-04-24T17:07:31+00:00,
EVL-000006,EVD-000003,,hypothesis,HYP-0006,positive,,,2026-04-24T17:07:31+00:00,
EVL-000007,EVD-000004,,intervention,INT-0003,positive,,,2026-04-24T17:07:31+00:00,
EVL-000008,EVD-000004,,hypothesis,HYP-0006,positive,,,2026-04-24T17:07:31+00:00,
EVL-000009,EVD-000005,,intervention,INT-0004,mixed,,,2026-04-24T17:07:31+00:00,
EVL-000010,EVD-000005,,hypothesis,HYP-0006,mixed,,,2026-04-24T17:07:31+00:00,
EVL-000011,EVD-000006,,intervention,INT-0005,positive,,,2026-04-24T17:07:31+00:00,
EVL-000012,EVD-000007,,intervention,INT-0008,unclear,,,2026-04-24T17:07:31+00:00,
EVL-000013,EVD-000007,,hypothesis,HYP-0003,unclear,,,2026-04-24T17:07:31+00:00,
EVL-000014,EVD-000008,,hypothesis,HYP-0007,positive,,,2026-04-24T17:07:31+00:00,
EVL-000015,EVD-000009,,hypothesis,HYP-0002,mixed,,,2026-04-24T17:07:31+00:00,
EVL-000016,EVD-000010,,intervention,INT-0009,positive,,,2026-04-24T17:07:31+00:00,
EVL-000017,EVD-000010,,hypothesis,HYP-0004,positive,,,2026-04-24T17:07:31+00:00,
EVL-000018,EVD-000011,,intervention,INT-0001,unclear,,,2026-04-24T17:07:31+00:00,
EVL-000019,EVD-000011,,hypothesis,HYP-0001,unclear,,,2026-04-24T17:07:31+00:00,
EVL-000020,EVD-000012,,intervention,INT-0001,unclear,,,2026-04-24T17:07:31+00:00,
EVL-000021,EVD-000012,,hypothesis,HYP-0001,unclear,,,2026-04-24T17:07:31+00:00,
