id,intervention_id,hypothesis_id,relation_type,polarity,evidence_for_count,evidence_against_count,evidence_strength_aggregate,context_scope,status,created_at,last_updated
IHE-00001,INT-0001,HYP-0001,cause_mitigation,supporting,,,0.8102,,active,2026-04-24T17:07:31+00:00,2026-04-27T22:29:21+00:00
IHE-00002,INT-0008,HYP-0003,cause_mitigation,supporting,,,0.7324,,active,2026-04-24T17:07:31+00:00,2026-04-27T22:29:21+00:00
IHE-00003,INT-0009,HYP-0004,cause_mitigation,supporting,,,0.5959,,active,2026-04-24T17:07:31+00:00,2026-04-27T22:29:21+00:00
IHE-00004,INT-0009,HYP-0005,cause_mitigation,supporting,,,0.6570,,active,2026-04-24T17:07:31+00:00,2026-04-27T22:29:21+00:00
IHE-00005,INT-0052,HYP-0011,cause_mitigation,supporting,,,0.3500,,active,2026-04-24T17:07:31+00:00,2026-04-27T22:29:21+00:00
IHE-00006,INT-0052,HYP-0012,cause_mitigation,supporting,,,0.3500,,active,2026-04-24T17:07:31+00:00,2026-04-27T22:29:21+00:00
IHE-00007,INT-0051,HYP-0013,cause_mitigation,supporting,,,0.2981,,active,2026-04-24T17:07:31+00:00,2026-04-27T22:29:21+00:00
IHE-00008,INT-0053,HYP-0014,cause_mitigation,supporting,,,0.1292,,active,2026-04-24T17:07:31+00:00,2026-04-27T22:29:21+00:00
IHE-00009,INT-0009,HYP-0015,cause_mitigation,supporting,,,0.4426,,active,2026-04-24T17:07:31+00:00,2026-04-27T22:29:21+00:00
IHE-00010,INT-0054,HYP-0016,cause_mitigation,supporting,,,0.1361,,active,2026-04-24T17:07:31+00:00,2026-04-27T22:29:21+00:00
IHE-00011,INT-0050,HYP-0017,cause_mitigation,supporting,,,0.1804,,active,2026-04-24T17:07:31+00:00,2026-04-27T22:29:21+00:00
IHE-00012,INT-0013,HYP-0020,cause_mitigation,supporting,,,0.2288,,active,2026-04-24T17:07:31+00:00,2026-04-27T22:29:21+00:00
IHE-00013,INT-0014,HYP-0021,cause_mitigation,supporting,,,0.2283,,active,2026-04-24T17:07:31+00:00,2026-04-27T22:29:21+00:00
IHE-00014,INT-0025,HYP-0022,cause_mitigation,supporting,,,0.2812,,active,2026-04-24T17:07:31+00:00,2026-04-27T22:29:21+00:00
IHE-00015,INT-0059,HYP-0023,cause_mitigation,supporting,,,0.1905,,active,2026-04-24T17:07:31+00:00,2026-04-27T22:29:21+00:00
IHE-00016,INT-0006,HYP-0026,cause_mitigation,supporting,,,0.1973,,active,2026-04-24T17:07:31+00:00,2026-04-27T22:29:21+00:00
IHE-00017,INT-0036,HYP-0029,cause_mitigation,supporting,,,0.5347,,active,2026-04-24T17:07:31+00:00,2026-04-27T22:29:21+00:00
IHE-00018,INT-0036,HYP-0030,cause_mitigation,supporting,,,0.3900,,active,2026-04-24T17:07:31+00:00,2026-04-27T22:29:21+00:00
