id,intervention_id,phenotype_id,relation_type,polarity,evidence_for_count,evidence_against_count,evidence_strength_aggregate,context_scope,status,created_at,last_updated
IPE-00001,INT-0001,PHE-0001,derived_via_int_mec_phe_walk,unknown,,,0.0000,,active,2026-04-28T02:00:15+00:00,2026-04-29T22:13:43+00:00
IPE-00002,INT-0002,PHE-0002,derived_via_int_mec_phe_walk,unknown,,,0.0000,,active,2026-04-28T02:00:15+00:00,2026-04-29T22:13:43+00:00
IPE-00003,INT-0002,PHE-0003,derived_via_int_mec_phe_walk,unknown,,,0.0000,,active,2026-04-28T02:00:15+00:00,2026-04-29T22:13:43+00:00
IPE-00004,INT-0003,PHE-0001,derived_via_int_mec_phe_walk,unknown,,,0.0000,,active,2026-04-28T02:00:15+00:00,2026-04-29T22:13:43+00:00
IPE-00005,INT-0003,PHE-0007,derived_via_int_mec_phe_walk,unknown,,,0.0000,,active,2026-04-28T02:00:15+00:00,2026-04-29T22:13:43+00:00
IPE-00006,INT-0004,PHE-0002,derived_via_int_mec_phe_walk,unknown,,,0.0000,,active,2026-04-28T02:00:15+00:00,2026-04-29T22:13:43+00:00
IPE-00007,INT-0004,PHE-0007,derived_via_int_mec_phe_walk,unknown,,,0.0000,,active,2026-04-28T02:00:15+00:00,2026-04-29T22:13:43+00:00
IPE-00008,INT-0005,PHE-0007,derived_via_int_mec_phe_walk,unknown,,,0.0000,,active,2026-04-28T02:00:15+00:00,2026-04-29T22:13:43+00:00
IPE-00009,INT-0006,PHE-0003,derived_via_int_mec_phe_walk,unknown,,,0.0000,,active,2026-04-28T02:00:15+00:00,2026-04-29T22:13:43+00:00
IPE-00010,INT-0007,PHE-0002,derived_via_int_mec_phe_walk,unknown,,,0.0000,,active,2026-04-28T02:00:15+00:00,2026-04-29T22:13:43+00:00
IPE-00011,INT-0007,PHE-0003,derived_via_int_mec_phe_walk,unknown,,,0.0000,,active,2026-04-28T02:00:15+00:00,2026-04-29T22:13:43+00:00
IPE-00012,INT-0007,PHE-0005,derived_via_int_mec_phe_walk,unknown,,,0.0000,,active,2026-04-28T02:00:15+00:00,2026-04-29T22:13:43+00:00
IPE-00013,INT-0007,PHE-0006,derived_via_int_mec_phe_walk,unknown,,,0.0000,,active,2026-04-28T02:00:15+00:00,2026-04-29T22:13:43+00:00
IPE-00014,INT-0007,PHE-0007,derived_via_int_mec_phe_walk,unknown,,,0.0000,,active,2026-04-28T02:00:15+00:00,2026-04-29T22:13:43+00:00
IPE-00015,INT-0008,PHE-0001,derived_via_int_mec_phe_walk,unknown,,,0.0000,,active,2026-04-28T02:00:15+00:00,2026-04-29T22:13:43+00:00
IPE-00016,INT-0010,PHE-0001,derived_via_int_mec_phe_walk,unknown,,,0.0000,,active,2026-04-28T02:00:15+00:00,2026-04-29T22:13:43+00:00
IPE-00017,INT-0010,PHE-0002,derived_via_int_mec_phe_walk,unknown,,,0.0000,,active,2026-04-28T02:00:15+00:00,2026-04-29T22:13:43+00:00
IPE-00018,INT-0011,PHE-0002,derived_via_int_mec_phe_walk,unknown,,,0.0000,,active,2026-04-28T02:00:15+00:00,2026-04-29T22:13:43+00:00
IPE-00019,INT-0012,PHE-0002,derived_via_int_mec_phe_walk,unknown,,,0.0000,,active,2026-04-28T02:00:15+00:00,2026-04-29T22:13:43+00:00
IPE-00020,INT-0013,PHE-0001,derived_via_int_mec_phe_walk,unknown,,,0.0000,,active,2026-04-28T02:00:15+00:00,2026-04-29T22:13:43+00:00
IPE-00021,INT-0013,PHE-0007,derived_via_int_mec_phe_walk,unknown,,,0.0000,,active,2026-04-28T02:00:15+00:00,2026-04-29T22:13:43+00:00
IPE-00022,INT-0014,PHE-0003,derived_via_int_mec_phe_walk,unknown,,,0.0000,,active,2026-04-28T02:00:15+00:00,2026-04-29T22:13:43+00:00
IPE-00023,INT-0014,PHE-0005,derived_via_int_mec_phe_walk,unknown,,,0.0000,,active,2026-04-28T02:00:15+00:00,2026-04-29T22:13:43+00:00
IPE-00024,INT-0014,PHE-0006,derived_via_int_mec_phe_walk,unknown,,,0.0000,,active,2026-04-28T02:00:15+00:00,2026-04-29T22:13:43+00:00
IPE-00025,INT-0015,PHE-0007,derived_via_int_mec_phe_walk,unknown,,,0.0000,,active,2026-04-28T02:00:15+00:00,2026-04-29T22:13:43+00:00
IPE-00026,INT-0017,PHE-0001,derived_via_int_mec_phe_walk,unknown,,,0.0000,,active,2026-04-28T02:00:15+00:00,2026-04-29T22:13:43+00:00
IPE-00027,INT-0017,PHE-0007,derived_via_int_mec_phe_walk,unknown,,,0.0000,,active,2026-04-28T02:00:15+00:00,2026-04-29T22:13:43+00:00
IPE-00028,INT-0018,PHE-0001,derived_via_int_mec_phe_walk,unknown,,,0.0000,,active,2026-04-28T02:00:15+00:00,2026-04-29T22:13:43+00:00
IPE-00029,INT-0019,PHE-0001,derived_via_int_mec_phe_walk,unknown,,,0.0000,,active,2026-04-28T02:00:15+00:00,2026-04-29T22:13:43+00:00
IPE-00030,INT-0020,PHE-0002,derived_via_int_mec_phe_walk,unknown,,,0.0000,,active,2026-04-28T02:00:15+00:00,2026-04-29T22:13:43+00:00
IPE-00031,INT-0023,PHE-0007,derived_via_int_mec_phe_walk,unknown,,,0.0000,,active,2026-04-28T02:00:15+00:00,2026-04-29T22:13:43+00:00
IPE-00032,INT-0025,PHE-0004,derived_via_int_mec_phe_walk,unknown,,,0.0000,,active,2026-04-28T02:00:15+00:00,2026-04-29T22:13:43+00:00
IPE-00033,INT-0026,PHE-0002,derived_via_int_mec_phe_walk,unknown,,,0.0000,,active,2026-04-28T02:00:15+00:00,2026-04-29T22:13:43+00:00
IPE-00034,INT-0026,PHE-0004,derived_via_int_mec_phe_walk,unknown,,,0.0000,,active,2026-04-28T02:00:15+00:00,2026-04-29T22:13:43+00:00
