id,intervention_id,phenotype_id,relation_type,polarity,evidence_for_count,evidence_against_count,evidence_strength_aggregate,context_scope,status,created_at,last_updated,derivation_via_mechanism_id,derivation_note
DIPE-00001,INT-0001,PHE-0001,derived_via_int_mec_phe_walk,unknown,,,0.0000,,proposed,2026-04-28T02:00:15+00:00,2026-04-28T02:00:15+00:00,MEC-0003,transitive: INT-0001 -[modulates]-> MEC-0003 -[implicated_in]-> PHE-0001
DIPE-00002,INT-0002,PHE-0002,derived_via_int_mec_phe_walk,unknown,,,0.0000,,proposed,2026-04-28T02:00:15+00:00,2026-04-28T02:00:15+00:00,MEC-0001,transitive: INT-0002 -[modulates]-> MEC-0001 -[implicated_in]-> PHE-0002
DIPE-00003,INT-0002,PHE-0003,derived_via_int_mec_phe_walk,unknown,,,0.0000,,proposed,2026-04-28T02:00:15+00:00,2026-04-28T02:00:15+00:00,MEC-0027,transitive: INT-0002 -[modulates]-> MEC-0027 -[implicated_in]-> PHE-0003
DIPE-00004,INT-0003,PHE-0001,derived_via_int_mec_phe_walk,unknown,,,0.0000,,proposed,2026-04-28T02:00:15+00:00,2026-04-28T02:00:15+00:00,MEC-0003,transitive: INT-0003 -[modulates]-> MEC-0003 -[implicated_in]-> PHE-0001
DIPE-00005,INT-0003,PHE-0007,derived_via_int_mec_phe_walk,unknown,,,0.0000,,proposed,2026-04-28T02:00:15+00:00,2026-04-28T02:00:15+00:00,MEC-0029,transitive: INT-0003 -[modulates]-> MEC-0029 -[implicated_in]-> PHE-0007
DIPE-00006,INT-0004,PHE-0002,derived_via_int_mec_phe_walk,unknown,,,0.0000,,proposed,2026-04-28T02:00:15+00:00,2026-04-28T02:00:15+00:00,MEC-0001,transitive: INT-0004 -[modulates]-> MEC-0001 -[implicated_in]-> PHE-0002
DIPE-00007,INT-0004,PHE-0007,derived_via_int_mec_phe_walk,unknown,,,0.0000,,proposed,2026-04-28T02:00:15+00:00,2026-04-28T02:00:15+00:00,MEC-0007,transitive: INT-0004 -[modulates]-> MEC-0007 -[implicated_in]-> PHE-0007
DIPE-00008,INT-0005,PHE-0007,derived_via_int_mec_phe_walk,unknown,,,0.0000,,proposed,2026-04-28T02:00:15+00:00,2026-04-28T02:00:15+00:00,MEC-0007,transitive: INT-0005 -[modulates]-> MEC-0007 -[implicated_in]-> PHE-0007
DIPE-00009,INT-0006,PHE-0003,derived_via_int_mec_phe_walk,unknown,,,0.0000,,proposed,2026-04-28T02:00:15+00:00,2026-04-28T02:00:15+00:00,MEC-0002,transitive: INT-0006 -[modulates]-> MEC-0002 -[implicated_in]-> PHE-0003
DIPE-00010,INT-0007,PHE-0002,derived_via_int_mec_phe_walk,unknown,,,0.0000,,proposed,2026-04-28T02:00:15+00:00,2026-04-28T02:00:15+00:00,MEC-0010,transitive: INT-0007 -[modulates]-> MEC-0010 -[implicated_in]-> PHE-0002
DIPE-00011,INT-0007,PHE-0003,derived_via_int_mec_phe_walk,unknown,,,0.0000,,proposed,2026-04-28T02:00:15+00:00,2026-04-28T02:00:15+00:00,MEC-0002,transitive: INT-0007 -[modulates]-> MEC-0002 -[implicated_in]-> PHE-0003
DIPE-00012,INT-0007,PHE-0005,derived_via_int_mec_phe_walk,unknown,,,0.0000,,proposed,2026-04-28T02:00:15+00:00,2026-04-28T02:00:15+00:00,MEC-0028,transitive: INT-0007 -[modulates]-> MEC-0028 -[implicated_in]-> PHE-0005
DIPE-00013,INT-0007,PHE-0006,derived_via_int_mec_phe_walk,unknown,,,0.0000,,proposed,2026-04-28T02:00:15+00:00,2026-04-28T02:00:15+00:00,MEC-0028,transitive: INT-0007 -[modulates]-> MEC-0028 -[implicated_in]-> PHE-0006
