id,gene_id,hypothesis_id,relation_type,polarity,evidence_for_count,evidence_against_count,evidence_strength_aggregate,context_scope,status,created_at,last_updated,rationale
PGHE-00001,GEN-0003,HYP-0028,risk_factor_for,supporting,,,0.0,,proposed,2026-04-28T03:26:16+00:00,2026-04-28T03:26:16+00:00,SFARI score 1 ASD risk gene (SFARI Gene database)
PGHE-00002,GEN-0008,HYP-0028,risk_factor_for,supporting,,,0.0,,proposed,2026-04-28T03:26:16+00:00,2026-04-28T03:26:16+00:00,SFARI score 1 ASD risk gene (SFARI Gene database)
PGHE-00003,GEN-0009,HYP-0028,risk_factor_for,supporting,,,0.0,,proposed,2026-04-28T03:26:16+00:00,2026-04-28T03:26:16+00:00,SFARI score 1 ASD risk gene (SFARI Gene database)
PGHE-00004,GEN-0011,HYP-0028,risk_factor_for,supporting,,,0.0,,proposed,2026-04-28T03:26:16+00:00,2026-04-28T03:26:16+00:00,SFARI score 2 ASD risk gene (SFARI Gene database)
PGHE-00005,GEN-0012,HYP-0028,risk_factor_for,supporting,,,0.0,,proposed,2026-04-28T03:26:16+00:00,2026-04-28T03:26:16+00:00,SFARI score 2 ASD risk gene (SFARI Gene database)
PGHE-00006,GEN-0013,HYP-0028,risk_factor_for,supporting,,,0.0,,proposed,2026-04-28T03:26:16+00:00,2026-04-28T03:26:16+00:00,SFARI score 2 ASD risk gene (SFARI Gene database)
PGHE-00007,GEN-0015,HYP-0028,risk_factor_for,supporting,,,0.0,,proposed,2026-04-28T03:26:16+00:00,2026-04-28T03:26:16+00:00,SFARI score 2 ASD risk gene (SFARI Gene database)
PGHE-00008,GEN-0016,HYP-0028,risk_factor_for,supporting,,,0.0,,proposed,2026-04-28T03:26:16+00:00,2026-04-28T03:26:16+00:00,SFARI score 1 ASD risk gene (SFARI Gene database)
PGHE-00009,GEN-0018,HYP-0028,risk_factor_for,supporting,,,0.0,,proposed,2026-04-28T03:26:16+00:00,2026-04-28T03:26:16+00:00,SFARI score 2 ASD risk gene (SFARI Gene database)
PGHE-00010,GEN-0019,HYP-0028,risk_factor_for,supporting,,,0.0,,proposed,2026-04-28T03:26:16+00:00,2026-04-28T03:26:16+00:00,SFARI score 2 ASD risk gene (SFARI Gene database)
PGHE-00011,GEN-0020,HYP-0028,risk_factor_for,supporting,,,0.0,,proposed,2026-04-28T03:26:16+00:00,2026-04-28T03:26:16+00:00,SFARI score 2 ASD risk gene (SFARI Gene database)
PGHE-00012,GEN-0023,HYP-0028,risk_factor_for,supporting,,,0.0,,proposed,2026-04-28T03:26:16+00:00,2026-04-28T03:26:16+00:00,SFARI score 2 ASD risk gene (SFARI Gene database)
PGHE-00013,GEN-0025,HYP-0028,risk_factor_for,supporting,,,0.0,,proposed,2026-04-28T03:26:16+00:00,2026-04-28T03:26:16+00:00,SFARI score 2 ASD risk gene (SFARI Gene database)
PGHE-00014,GEN-0027,HYP-0028,risk_factor_for,supporting,,,0.0,,proposed,2026-04-28T03:26:16+00:00,2026-04-28T03:26:16+00:00,SFARI score 2 ASD risk gene (SFARI Gene database)
PGHE-00015,GEN-0028,HYP-0028,risk_factor_for,supporting,,,0.0,,proposed,2026-04-28T03:26:16+00:00,2026-04-28T03:26:16+00:00,SFARI score 2 ASD risk gene (SFARI Gene database)
PGHE-00016,GEN-0031,HYP-0028,risk_factor_for,supporting,,,0.0,,proposed,2026-04-28T03:26:16+00:00,2026-04-28T03:26:16+00:00,SFARI score 2 ASD risk gene (SFARI Gene database)
PGHE-00017,GEN-0033,HYP-0028,risk_factor_for,supporting,,,0.0,,proposed,2026-04-28T03:26:16+00:00,2026-04-28T03:26:16+00:00,SFARI score 2 ASD risk gene (SFARI Gene database)
PGHE-00018,GEN-0035,HYP-0028,risk_factor_for,supporting,,,0.0,,proposed,2026-04-28T03:26:16+00:00,2026-04-28T03:26:16+00:00,SFARI score 2 ASD risk gene (SFARI Gene database)
PGHE-00019,GEN-0036,HYP-0028,risk_factor_for,supporting,,,0.0,,proposed,2026-04-28T03:26:16+00:00,2026-04-28T03:26:16+00:00,SFARI score 1 ASD risk gene (SFARI Gene database)
PGHE-00020,GEN-0037,HYP-0028,risk_factor_for,supporting,,,0.0,,proposed,2026-04-28T03:26:16+00:00,2026-04-28T03:26:16+00:00,SFARI score 2 ASD risk gene (SFARI Gene database)
PGHE-00021,GEN-0038,HYP-0028,risk_factor_for,supporting,,,0.0,,proposed,2026-04-28T03:26:16+00:00,2026-04-28T03:26:16+00:00,SFARI score 2 ASD risk gene (SFARI Gene database)
PGHE-00022,GEN-0040,HYP-0028,risk_factor_for,supporting,,,0.0,,proposed,2026-04-28T03:26:16+00:00,2026-04-28T03:26:16+00:00,SFARI score 2 ASD risk gene (SFARI Gene database)
PGHE-00023,GEN-0041,HYP-0028,risk_factor_for,supporting,,,0.0,,proposed,2026-04-28T03:26:16+00:00,2026-04-28T03:26:16+00:00,SFARI score 2 ASD risk gene (SFARI Gene database)
