id,intervention_id,mechanism_id,relation_type,polarity,evidence_for_count,evidence_against_count,evidence_strength_aggregate,context_scope,status,created_at,last_updated
IME-00001,INT-0001,MEC-0003,modulates,unknown,,,0.6727,,active,2026-04-24T17:07:31+00:00,2026-04-29T17:08:06+00:00
IME-00002,INT-0001,MEC-0004,modulates,unknown,,,0.7037,,active,2026-04-24T17:07:31+00:00,2026-04-29T17:08:06+00:00
IME-00003,INT-0002,MEC-0001,modulates,unknown,,,0.6894,,active,2026-04-24T17:07:31+00:00,2026-04-29T17:08:06+00:00
IME-00004,INT-0002,MEC-0010,modulates,unknown,,,0.6825,,active,2026-04-24T17:07:31+00:00,2026-04-29T17:08:06+00:00
IME-00005,INT-0003,MEC-0003,modulates,unknown,,,0.5113,,active,2026-04-24T17:07:31+00:00,2026-04-29T17:08:06+00:00
IME-00006,INT-0004,MEC-0001,modulates,unknown,,,0.5726,,active,2026-04-24T17:07:31+00:00,2026-04-29T17:08:06+00:00
IME-00007,INT-0004,MEC-0007,modulates,unknown,,,0.4910,,active,2026-04-24T17:07:31+00:00,2026-04-29T17:08:06+00:00
IME-00008,INT-0005,MEC-0007,modulates,unknown,,,0.4719,,active,2026-04-24T17:07:31+00:00,2026-04-29T17:08:06+00:00
IME-00009,INT-0006,MEC-0002,modulates,unknown,,,0.5802,,active,2026-04-24T17:07:31+00:00,2026-04-29T17:08:06+00:00
IME-00010,INT-0006,MEC-0005,modulates,unknown,,,0.5448,,active,2026-04-24T17:07:31+00:00,2026-04-29T17:08:06+00:00
IME-00011,INT-0007,MEC-0002,modulates,unknown,,,0.6445,,active,2026-04-24T17:07:31+00:00,2026-04-29T17:08:06+00:00
IME-00012,INT-0007,MEC-0007,modulates,unknown,,,0.5419,,active,2026-04-24T17:07:31+00:00,2026-04-29T17:08:06+00:00
IME-00013,INT-0007,MEC-0010,modulates,unknown,,,0.6256,,active,2026-04-24T17:07:31+00:00,2026-04-29T17:08:06+00:00
IME-00014,INT-0008,MEC-0003,modulates,unknown,,,0.6425,,active,2026-04-24T17:07:31+00:00,2026-04-29T17:08:06+00:00
IME-00015,INT-0010,MEC-0001,modulates,unknown,,,0.4517,,active,2026-04-24T17:07:31+00:00,2026-04-29T17:08:06+00:00
IME-00016,INT-0010,MEC-0003,modulates,unknown,,,0.4162,,active,2026-04-24T17:07:31+00:00,2026-04-29T17:08:06+00:00
IME-00017,INT-0011,MEC-0010,modulates,unknown,,,0.5682,,active,2026-04-24T17:07:31+00:00,2026-04-29T17:08:06+00:00
IME-00018,INT-0012,MEC-0010,modulates,unknown,,,0.5552,,active,2026-04-24T17:07:31+00:00,2026-04-29T17:08:06+00:00
IME-00019,INT-0014,MEC-0002,modulates,unknown,,,0.6098,,active,2026-04-24T17:07:31+00:00,2026-04-29T17:08:06+00:00
IME-00020,INT-0015,MEC-0007,modulates,unknown,,,0.5503,,active,2026-04-24T17:07:31+00:00,2026-04-29T17:08:06+00:00
IME-00021,INT-0017,MEC-0003,modulates,unknown,,,0.5094,,active,2026-04-24T17:07:31+00:00,2026-04-29T17:08:06+00:00
IME-00022,INT-0017,MEC-0007,modulates,unknown,,,0.4741,,active,2026-04-24T17:07:31+00:00,2026-04-29T17:08:06+00:00
IME-00023,INT-0018,MEC-0003,modulates,unknown,,,0.4142,,active,2026-04-24T17:07:31+00:00,2026-04-29T17:08:06+00:00
IME-00024,INT-0019,MEC-0003,modulates,unknown,,,0.3907,,active,2026-04-24T17:07:31+00:00,2026-04-29T17:08:06+00:00
IME-00025,INT-0020,MEC-0001,modulates,unknown,,,0.5767,,active,2026-04-24T17:07:31+00:00,2026-04-29T17:08:06+00:00
IME-00026,INT-0023,MEC-0007,modulates,unknown,,,0.4829,,active,2026-04-24T17:07:31+00:00,2026-04-29T17:08:06+00:00
IME-00027,INT-0025,MEC-0008,modulates,unknown,,,0.6661,,active,2026-04-24T17:07:31+00:00,2026-04-29T17:08:06+00:00
IME-00028,INT-0026,MEC-0008,modulates,unknown,,,0.4310,,active,2026-04-24T17:07:31+00:00,2026-04-29T17:08:06+00:00
IME-00029,INT-0027,MEC-0002,modulates,unknown,,,0.5846,,active,2026-04-24T17:07:31+00:00,2026-04-29T17:08:06+00:00
IME-00030,INT-0027,MEC-0004,modulates,unknown,,,0.5525,,active,2026-04-24T17:07:31+00:00,2026-04-29T17:08:06+00:00
IME-00031,INT-0027,MEC-0005,modulates,unknown,,,0.5490,,active,2026-04-24T17:07:31+00:00,2026-04-29T17:08:06+00:00
IME-00032,INT-0028,MEC-0009,modulates,unknown,,,0.3869,,active,2026-04-24T17:07:31+00:00,2026-04-29T17:08:06+00:00
IME-00033,INT-0028,MEC-0010,modulates,unknown,,,0.5702,,active,2026-04-24T17:07:31+00:00,2026-04-29T17:08:06+00:00
IME-00034,INT-0030,MEC-0003,modulates,unknown,,,0.5887,,active,2026-04-24T17:07:31+00:00,2026-04-29T17:08:06+00:00
IME-00035,INT-0032,MEC-0007,modulates,unknown,,,0.3576,,active,2026-04-24T17:07:31+00:00,2026-04-29T17:08:06+00:00
IME-00036,INT-0035,MEC-0007,modulates,unknown,,,0.4803,,active,2026-04-24T17:07:31+00:00,2026-04-29T17:08:06+00:00
IME-00037,INT-0036,MEC-0009,modulates,unknown,,,0.4396,,active,2026-04-24T17:07:31+00:00,2026-04-29T17:08:06+00:00
IME-00038,INT-0037,MEC-0008,modulates,unknown,,,0.6224,,active,2026-04-24T17:07:31+00:00,2026-04-29T17:08:06+00:00
IME-00039,INT-0039,MEC-0007,modulates,unknown,,,0.3451,,active,2026-04-24T17:07:31+00:00,2026-04-29T17:08:06+00:00
IME-00040,INT-0042,MEC-0008,modulates,unknown,,,0.5391,,active,2026-04-24T17:07:31+00:00,2026-04-29T17:08:06+00:00
IME-00041,INT-0043,MEC-0007,modulates,unknown,,,0.3791,,active,2026-04-24T17:07:31+00:00,2026-04-29T17:08:06+00:00
IME-00042,INT-0044,MEC-0001,modulates,unknown,,,0.4633,,active,2026-04-24T17:07:31+00:00,2026-04-29T17:08:06+00:00
IME-00043,INT-0045,MEC-0010,modulates,unknown,,,0.4345,,active,2026-04-24T17:07:31+00:00,2026-04-29T17:08:06+00:00
IME-00044,INT-0047,MEC-0002,modulates,unknown,,,0.6691,,active,2026-04-24T17:07:31+00:00,2026-04-29T17:08:06+00:00
IME-00045,INT-0050,MEC-0001,modulates,unknown,,,0.4848,,active,2026-04-24T17:07:31+00:00,2026-04-29T17:08:06+00:00
IME-00046,INT-0055,MEC-0010,modulates,unknown,,,0.5133,,active,2026-04-24T17:07:31+00:00,2026-04-29T17:08:06+00:00
IME-00047,INT-0056,MEC-0008,modulates,unknown,,,0.4450,,active,2026-04-24T17:07:31+00:00,2026-04-29T17:08:06+00:00
IME-00048,INT-0057,MEC-0002,modulates,unknown,,,0.4769,,active,2026-04-24T17:07:31+00:00,2026-04-29T17:08:06+00:00
