id,intervention_id,hypothesis_id,relation_type,polarity,evidence_for_count,evidence_against_count,evidence_strength_aggregate,context_scope,status,created_at,last_updated
IHE-00001,INT-0001,HYP-0001,cause_mitigation,supporting,,,0.8186,,active,2026-04-24T17:07:31+00:00,2026-04-28T03:19:15+00:00
IHE-00002,INT-0008,HYP-0003,cause_mitigation,supporting,,,0.7406,,active,2026-04-24T17:07:31+00:00,2026-04-28T03:19:15+00:00
IHE-00003,INT-0009,HYP-0004,cause_mitigation,supporting,,,0.5959,,active,2026-04-24T17:07:31+00:00,2026-04-28T03:19:15+00:00
IHE-00004,INT-0009,HYP-0005,cause_mitigation,supporting,,,0.6570,,active,2026-04-24T17:07:31+00:00,2026-04-28T03:19:15+00:00
IHE-00005,INT-0052,HYP-0011,cause_mitigation,supporting,,,0.3500,,active,2026-04-24T17:07:31+00:00,2026-04-28T03:19:15+00:00
IHE-00006,INT-0052,HYP-0012,cause_mitigation,supporting,,,0.3500,,active,2026-04-24T17:07:31+00:00,2026-04-28T03:19:15+00:00
IHE-00007,INT-0051,HYP-0013,cause_mitigation,supporting,,,0.2981,,active,2026-04-24T17:07:31+00:00,2026-04-28T03:19:15+00:00
IHE-00008,INT-0053,HYP-0014,cause_mitigation,supporting,,,0.1292,,active,2026-04-24T17:07:31+00:00,2026-04-28T03:19:15+00:00
IHE-00009,INT-0009,HYP-0015,cause_mitigation,supporting,,,0.4426,,active,2026-04-24T17:07:31+00:00,2026-04-28T03:19:15+00:00
IHE-00010,INT-0054,HYP-0016,cause_mitigation,supporting,,,0.1361,,active,2026-04-24T17:07:31+00:00,2026-04-28T03:19:15+00:00
IHE-00011,INT-0050,HYP-0017,cause_mitigation,supporting,,,0.1849,,active,2026-04-24T17:07:31+00:00,2026-04-28T03:19:15+00:00
IHE-00012,INT-0013,HYP-0020,cause_mitigation,supporting,,,0.2325,,active,2026-04-24T17:07:31+00:00,2026-04-28T03:19:15+00:00
IHE-00013,INT-0014,HYP-0021,cause_mitigation,supporting,,,0.2319,,active,2026-04-24T17:07:31+00:00,2026-04-28T03:19:15+00:00
IHE-00014,INT-0025,HYP-0022,cause_mitigation,supporting,,,0.2846,,active,2026-04-24T17:07:31+00:00,2026-04-28T03:19:15+00:00
IHE-00015,INT-0059,HYP-0023,cause_mitigation,supporting,,,0.1955,,active,2026-04-24T17:07:31+00:00,2026-04-28T03:19:15+00:00
IHE-00016,INT-0006,HYP-0026,cause_mitigation,supporting,,,0.2007,,active,2026-04-24T17:07:31+00:00,2026-04-28T03:19:15+00:00
IHE-00017,INT-0036,HYP-0029,cause_mitigation,supporting,,,0.5416,,active,2026-04-24T17:07:31+00:00,2026-04-28T03:19:15+00:00
IHE-00018,INT-0036,HYP-0030,cause_mitigation,supporting,,,0.3950,,active,2026-04-24T17:07:31+00:00,2026-04-28T03:19:15+00:00
IHE-00019,INT-0061,HYP-0034,cause_mitigation,supporting,,,0.5489,,active,2026-04-27T21:14:42+00:00,2026-04-28T03:19:15+00:00
IHE-00020,INT-0066,HYP-0048,cause_mitigation,supporting,,,0.4071,,active,2026-04-27T21:14:42+00:00,2026-04-28T03:19:15+00:00
IHE-00021,INT-0066,HYP-0035,cause_mitigation,supporting,,,0.4071,,active,2026-04-27T21:14:42+00:00,2026-04-28T03:19:15+00:00
IHE-00022,INT-0067,HYP-0049,cause_mitigation,supporting,,,0.1888,,active,2026-04-27T21:14:42+00:00,2026-04-28T03:19:15+00:00
IHE-00023,INT-0068,HYP-0033,cause_mitigation,supporting,,,0.3934,,active,2026-04-27T21:14:42+00:00,2026-04-28T03:19:15+00:00
