id,intervention_id,mechanism_id,relation_type,polarity,evidence_for_count,evidence_against_count,evidence_strength_aggregate,context_scope,status,created_at,last_updated
IME-00001,INT-0001,MEC-0003,modulates,unknown,,,0.6969,,active,2026-04-24T17:07:31+00:00,2026-04-28T03:19:15+00:00
IME-00002,INT-0001,MEC-0004,modulates,unknown,,,0.7098,,active,2026-04-24T17:07:31+00:00,2026-04-28T03:19:15+00:00
IME-00003,INT-0002,MEC-0001,modulates,unknown,,,0.6475,,active,2026-04-24T17:07:31+00:00,2026-04-28T03:19:15+00:00
IME-00004,INT-0002,MEC-0010,modulates,unknown,,,0.6697,,active,2026-04-24T17:07:31+00:00,2026-04-28T03:19:15+00:00
IME-00005,INT-0003,MEC-0003,modulates,unknown,,,0.5319,,active,2026-04-24T17:07:31+00:00,2026-04-28T03:19:15+00:00
IME-00006,INT-0004,MEC-0001,modulates,unknown,,,0.5308,,active,2026-04-24T17:07:31+00:00,2026-04-28T03:19:15+00:00
IME-00007,INT-0004,MEC-0007,modulates,unknown,,,0.4895,,active,2026-04-24T17:07:31+00:00,2026-04-28T03:19:15+00:00
IME-00008,INT-0005,MEC-0007,modulates,unknown,,,0.4767,,active,2026-04-24T17:07:31+00:00,2026-04-28T03:19:15+00:00
IME-00009,INT-0006,MEC-0002,modulates,unknown,,,0.5751,,active,2026-04-24T17:07:31+00:00,2026-04-28T03:19:15+00:00
IME-00010,INT-0006,MEC-0005,modulates,unknown,,,0.5357,,active,2026-04-24T17:07:31+00:00,2026-04-28T03:19:15+00:00
IME-00011,INT-0007,MEC-0002,modulates,unknown,,,0.6389,,active,2026-04-24T17:07:31+00:00,2026-04-28T03:19:15+00:00
IME-00012,INT-0007,MEC-0007,modulates,unknown,,,0.5465,,active,2026-04-24T17:07:31+00:00,2026-04-28T03:19:15+00:00
IME-00013,INT-0007,MEC-0010,modulates,unknown,,,0.6130,,active,2026-04-24T17:07:31+00:00,2026-04-28T03:19:15+00:00
IME-00014,INT-0008,MEC-0003,modulates,unknown,,,0.6701,,active,2026-04-24T17:07:31+00:00,2026-04-28T03:19:15+00:00
IME-00015,INT-0010,MEC-0001,modulates,unknown,,,0.4172,,active,2026-04-24T17:07:31+00:00,2026-04-28T03:19:15+00:00
IME-00016,INT-0010,MEC-0003,modulates,unknown,,,0.4229,,active,2026-04-24T17:07:31+00:00,2026-04-28T03:19:15+00:00
IME-00017,INT-0011,MEC-0010,modulates,unknown,,,0.5553,,active,2026-04-24T17:07:31+00:00,2026-04-28T03:19:15+00:00
IME-00018,INT-0012,MEC-0010,modulates,unknown,,,0.5425,,active,2026-04-24T17:07:31+00:00,2026-04-28T03:19:15+00:00
IME-00019,INT-0014,MEC-0002,modulates,unknown,,,0.6045,,active,2026-04-24T17:07:31+00:00,2026-04-28T03:19:15+00:00
IME-00020,INT-0015,MEC-0007,modulates,unknown,,,0.5567,,active,2026-04-24T17:07:31+00:00,2026-04-28T03:19:15+00:00
IME-00021,INT-0017,MEC-0003,modulates,unknown,,,0.5299,,active,2026-04-24T17:07:31+00:00,2026-04-28T03:19:15+00:00
IME-00022,INT-0017,MEC-0007,modulates,unknown,,,0.4821,,active,2026-04-24T17:07:31+00:00,2026-04-28T03:19:15+00:00
IME-00023,INT-0018,MEC-0003,modulates,unknown,,,0.4323,,active,2026-04-24T17:07:31+00:00,2026-04-28T03:19:15+00:00
IME-00024,INT-0019,MEC-0003,modulates,unknown,,,0.4083,,active,2026-04-24T17:07:31+00:00,2026-04-28T03:19:15+00:00
IME-00025,INT-0020,MEC-0001,modulates,unknown,,,0.5347,,active,2026-04-24T17:07:31+00:00,2026-04-28T03:19:15+00:00
IME-00026,INT-0023,MEC-0007,modulates,unknown,,,0.4886,,active,2026-04-24T17:07:31+00:00,2026-04-28T03:19:15+00:00
IME-00027,INT-0025,MEC-0008,modulates,unknown,,,0.6673,,active,2026-04-24T17:07:31+00:00,2026-04-28T03:19:15+00:00
IME-00028,INT-0026,MEC-0008,modulates,unknown,,,0.4317,,active,2026-04-24T17:07:31+00:00,2026-04-28T03:19:15+00:00
IME-00029,INT-0027,MEC-0002,modulates,unknown,,,0.5795,,active,2026-04-24T17:07:31+00:00,2026-04-28T03:19:15+00:00
IME-00030,INT-0027,MEC-0004,modulates,unknown,,,0.5549,,active,2026-04-24T17:07:31+00:00,2026-04-28T03:19:15+00:00
IME-00031,INT-0027,MEC-0005,modulates,unknown,,,0.5399,,active,2026-04-24T17:07:31+00:00,2026-04-28T03:19:15+00:00
IME-00032,INT-0028,MEC-0009,modulates,unknown,,,0.3869,,active,2026-04-24T17:07:31+00:00,2026-04-28T03:19:15+00:00
IME-00033,INT-0028,MEC-0010,modulates,unknown,,,0.5596,,active,2026-04-24T17:07:31+00:00,2026-04-28T03:19:15+00:00
IME-00034,INT-0030,MEC-0003,modulates,unknown,,,0.6120,,active,2026-04-24T17:07:31+00:00,2026-04-28T03:19:15+00:00
IME-00035,INT-0032,MEC-0007,modulates,unknown,,,0.3623,,active,2026-04-24T17:07:31+00:00,2026-04-28T03:19:15+00:00
IME-00036,INT-0035,MEC-0007,modulates,unknown,,,0.4854,,active,2026-04-24T17:07:31+00:00,2026-04-28T03:19:15+00:00
IME-00037,INT-0036,MEC-0009,modulates,unknown,,,0.4396,,active,2026-04-24T17:07:31+00:00,2026-04-28T03:19:15+00:00
IME-00038,INT-0037,MEC-0008,modulates,unknown,,,0.6233,,active,2026-04-24T17:07:31+00:00,2026-04-28T03:19:15+00:00
IME-00039,INT-0039,MEC-0007,modulates,unknown,,,0.3497,,active,2026-04-24T17:07:31+00:00,2026-04-28T03:19:15+00:00
IME-00040,INT-0042,MEC-0008,modulates,unknown,,,0.5401,,active,2026-04-24T17:07:31+00:00,2026-04-28T03:19:15+00:00
IME-00041,INT-0043,MEC-0007,modulates,unknown,,,0.3840,,active,2026-04-24T17:07:31+00:00,2026-04-28T03:19:15+00:00
IME-00042,INT-0044,MEC-0001,modulates,unknown,,,0.4264,,active,2026-04-24T17:07:31+00:00,2026-04-28T03:19:15+00:00
IME-00043,INT-0045,MEC-0010,modulates,unknown,,,0.4234,,active,2026-04-24T17:07:31+00:00,2026-04-28T03:19:15+00:00
IME-00044,INT-0047,MEC-0002,modulates,unknown,,,0.6634,,active,2026-04-24T17:07:31+00:00,2026-04-28T03:19:15+00:00
IME-00045,INT-0050,MEC-0001,modulates,unknown,,,0.4471,,active,2026-04-24T17:07:31+00:00,2026-04-28T03:19:15+00:00
IME-00046,INT-0055,MEC-0010,modulates,unknown,,,0.5012,,active,2026-04-24T17:07:31+00:00,2026-04-28T03:19:15+00:00
IME-00047,INT-0056,MEC-0008,modulates,unknown,,,0.4459,,active,2026-04-24T17:07:31+00:00,2026-04-28T03:19:15+00:00
IME-00048,INT-0057,MEC-0002,modulates,unknown,,,0.4723,,active,2026-04-24T17:07:31+00:00,2026-04-28T03:19:15+00:00
IME-00049,INT-0058,MEC-0003,modulates,unknown,,,0.4285,,active,2026-04-24T17:07:31+00:00,2026-04-28T03:19:15+00:00
IME-00050,INT-0059,MEC-0008,modulates,unknown,,,0.4584,,active,2026-04-24T17:07:31+00:00,2026-04-28T03:19:15+00:00
IME-00051,INT-0060,MEC-0008,modulates,unknown,,,0.4548,,active,2026-04-24T17:07:31+00:00,2026-04-28T03:19:15+00:00
IME-00052,INT-0061,MEC-0016,modulates,supporting,,,0.5540,,active,2026-04-27T21:14:42+00:00,2026-04-28T03:19:15+00:00
IME-00053,INT-0062,MEC-0002,modulates,supporting,,,0.5323,,active,2026-04-27T21:14:42+00:00,2026-04-28T03:19:15+00:00
IME-00054,INT-0062,MEC-0008,modulates,supporting,,,0.5184,,active,2026-04-27T21:14:42+00:00,2026-04-28T03:19:15+00:00
IME-00055,INT-0063,MEC-0007,modulates,supporting,,,0.4350,,active,2026-04-27T21:14:42+00:00,2026-04-28T03:19:15+00:00
IME-00056,INT-0064,MEC-0006,modulates,supporting,,,0.3449,,active,2026-04-27T21:14:42+00:00,2026-04-28T03:19:15+00:00
IME-00057,INT-0065,MEC-0006,modulates,supporting,,,0.5138,,active,2026-04-27T21:14:42+00:00,2026-04-28T03:19:15+00:00
IME-00058,INT-0066,MEC-0016,modulates,supporting,,,0.4965,,active,2026-04-27T21:14:42+00:00,2026-04-28T03:19:15+00:00
IME-00059,INT-0067,MEC-0001,modulates,supporting,,,0.5370,,active,2026-04-27T21:14:42+00:00,2026-04-28T03:19:15+00:00
IME-00060,INT-0068,MEC-0014,modulates,supporting,,,0.5794,,active,2026-04-27T21:14:42+00:00,2026-04-28T03:19:15+00:00
IME-00061,INT-0068,MEC-0010,modulates,supporting,,,0.6052,,active,2026-04-27T21:14:42+00:00,2026-04-28T03:19:15+00:00
IME-00062,INT-0069,MEC-0016,modulates,supporting,,,0.5119,,active,2026-04-27T21:14:42+00:00,2026-04-28T03:19:15+00:00
IME-00063,INT-0070,MEC-0016,modulates,supporting,,,0.4901,,active,2026-04-27T21:14:42+00:00,2026-04-28T03:19:15+00:00
IME-00064,INT-0071,MEC-0019,modulates,supporting,,,0.6589,,active,2026-04-27T21:14:42+00:00,2026-04-28T03:19:15+00:00
IME-00065,INT-0071,MEC-0002,modulates,supporting,,,0.6871,,active,2026-04-27T21:14:42+00:00,2026-04-28T03:19:15+00:00
IME-00066,INT-0072,MEC-0006,modulates,supporting,,,0.4356,,active,2026-04-27T21:14:42+00:00,2026-04-28T03:19:15+00:00
IME-00067,INT-0073,MEC-0019,modulates,supporting,,,0.6542,,active,2026-04-27T21:14:42+00:00,2026-04-28T03:19:15+00:00
IME-00068,INT-0074,MEC-0019,modulates,supporting,,,0.6812,,active,2026-04-27T21:14:42+00:00,2026-04-28T03:19:15+00:00
IME-00069,INT-0075,MEC-0016,modulates,supporting,,,0.5244,,active,2026-04-27T21:14:42+00:00,2026-04-28T03:19:15+00:00
IME-00070,INT-0037,MEC-0011,modulates,supporting,,,0.6786,,active,2026-04-27T21:14:42+00:00,2026-04-28T03:19:15+00:00
IME-00071,INT-0026,MEC-0011,modulates,supporting,,,0.4700,,active,2026-04-27T21:14:42+00:00,2026-04-28T03:19:15+00:00
IME-00072,INT-0028,MEC-0014,modulates,supporting,,,0.6302,,active,2026-04-27T21:14:42+00:00,2026-04-28T03:19:15+00:00
IME-00073,INT-0002,MEC-0014,modulates,supporting,,,0.7541,,active,2026-04-27T21:14:42+00:00,2026-04-28T03:19:15+00:00
IME-00074,INT-0005,MEC-0020,modulates,supporting,,,0.5732,,active,2026-04-27T21:14:42+00:00,2026-04-28T03:19:15+00:00
IME-00075,INT-0038,MEC-0020,modulates,supporting,,,0.5708,,active,2026-04-27T21:14:42+00:00,2026-04-28T03:19:15+00:00
IME-00076,INT-0040,MEC-0020,modulates,supporting,,,0.4362,,active,2026-04-27T21:14:42+00:00,2026-04-28T03:19:15+00:00
IME-00077,INT-0035,MEC-0018,modulates,supporting,,,0.6220,,active,2026-04-27T21:14:42+00:00,2026-04-28T03:19:15+00:00
IME-00078,INT-0035,MEC-0017,modulates,supporting,,,0.6183,,active,2026-04-27T21:14:42+00:00,2026-04-28T03:19:15+00:00
IME-00079,INT-0029,MEC-0017,modulates,supporting,,,0.6368,,active,2026-04-27T21:14:42+00:00,2026-04-28T03:19:15+00:00
IME-00080,INT-0047,MEC-0011,modulates,supporting,,,0.7034,,active,2026-04-27T21:14:42+00:00,2026-04-28T03:19:15+00:00
IME-00081,INT-0007,MEC-0011,modulates,supporting,,,0.6775,,active,2026-04-27T21:14:42+00:00,2026-04-28T03:19:15+00:00
IME-00082,INT-0036,MEC-0015,modulates,supporting,,,0.3962,,active,2026-04-27T21:14:42+00:00,2026-04-28T03:19:15+00:00
IME-00083,INT-0076,MEC-0026,modulates,supporting,,,0.7535,,active,2026-04-27T21:33:28+00:00,2026-04-28T03:19:15+00:00
IME-00084,INT-0076,MEC-0021,modulates,supporting,,,0.7309,,active,2026-04-27T21:33:28+00:00,2026-04-28T03:19:15+00:00
IME-00085,INT-0076,MEC-0022,modulates,supporting,,,0.6450,,active,2026-04-27T21:33:28+00:00,2026-04-28T03:19:15+00:00
IME-00086,INT-0077,MEC-0026,modulates,supporting,,,0.7369,,active,2026-04-27T21:33:28+00:00,2026-04-28T03:19:15+00:00
IME-00087,INT-0077,MEC-0021,modulates,supporting,,,0.7148,,active,2026-04-27T21:33:28+00:00,2026-04-28T03:19:15+00:00
IME-00088,INT-0078,MEC-0026,modulates,supporting,,,0.7189,,active,2026-04-27T21:33:28+00:00,2026-04-28T03:19:15+00:00
IME-00089,INT-0079,MEC-0022,modulates,supporting,,,0.4765,,active,2026-04-27T21:33:28+00:00,2026-04-28T03:19:15+00:00
IME-00090,INT-0080,MEC-0022,modulates,supporting,,,0.5411,,active,2026-04-27T21:33:28+00:00,2026-04-28T03:19:15+00:00
IME-00091,INT-0081,MEC-0026,modulates,supporting,,,0.6996,,active,2026-04-27T21:33:28+00:00,2026-04-28T03:19:15+00:00
IME-00092,INT-0082,MEC-0021,modulates,supporting,,,0.6841,,active,2026-04-27T21:33:28+00:00,2026-04-28T03:19:15+00:00
IME-00093,INT-0083,MEC-0021,modulates,supporting,,,0.6211,,active,2026-04-27T21:33:28+00:00,2026-04-28T03:19:15+00:00
IME-00094,INT-0084,MEC-0024,modulates,supporting,,,0.5441,,active,2026-04-27T21:33:28+00:00,2026-04-28T03:19:15+00:00
IME-00095,INT-0085,MEC-0022,modulates,supporting,,,0.4417,,active,2026-04-27T21:33:28+00:00,2026-04-28T03:19:15+00:00
IME-00096,INT-0086,MEC-0031,modulates,supporting,,,0.4302,,active,2026-04-27T21:44:33+00:00,2026-04-28T03:19:15+00:00
IME-00097,INT-0086,MEC-0028,modulates,supporting,,,0.4682,,active,2026-04-27T21:44:33+00:00,2026-04-28T03:19:15+00:00
IME-00098,INT-0087,MEC-0029,modulates,supporting,,,0.5294,,active,2026-04-27T21:44:33+00:00,2026-04-28T03:19:15+00:00
IME-00099,INT-0088,MEC-0003,modulates,supporting,,,0.6552,,active,2026-04-27T21:44:33+00:00,2026-04-28T03:19:15+00:00
IME-00100,INT-0088,MEC-0010,modulates,supporting,,,0.6685,,active,2026-04-27T21:44:33+00:00,2026-04-28T03:19:15+00:00
IME-00101,INT-0089,MEC-0011,modulates,supporting,,,0.6015,,active,2026-04-27T21:44:33+00:00,2026-04-28T03:19:15+00:00
IME-00102,INT-0089,MEC-0030,modulates,supporting,,,0.5883,,active,2026-04-27T21:44:33+00:00,2026-04-28T03:19:15+00:00
IME-00103,INT-0090,MEC-0028,modulates,supporting,,,0.4861,,active,2026-04-27T21:44:33+00:00,2026-04-28T03:19:15+00:00
IME-00104,INT-0090,MEC-0011,modulates,supporting,,,0.6004,,active,2026-04-27T21:44:33+00:00,2026-04-28T03:19:15+00:00
IME-00105,INT-0090,MEC-0010,modulates,supporting,,,0.6390,,active,2026-04-27T21:44:33+00:00,2026-04-28T03:19:15+00:00
IME-00106,INT-0091,MEC-0027,modulates,supporting,,,0.6389,,active,2026-04-27T21:44:33+00:00,2026-04-28T03:19:15+00:00
IME-00107,INT-0091,MEC-0002,modulates,supporting,,,0.6764,,active,2026-04-27T21:44:33+00:00,2026-04-28T03:19:15+00:00
IME-00108,INT-0048,MEC-0027,modulates,supporting,,,0.6470,,active,2026-04-27T21:44:33+00:00,2026-04-28T03:19:15+00:00
IME-00109,INT-0048,MEC-0030,modulates,supporting,,,0.6039,,active,2026-04-27T21:44:33+00:00,2026-04-28T03:19:15+00:00
IME-00110,INT-0073,MEC-0027,modulates,supporting,,,0.6443,,active,2026-04-27T21:44:33+00:00,2026-04-28T03:19:15+00:00
IME-00111,INT-0002,MEC-0027,modulates,supporting,,,0.7757,,active,2026-04-27T21:44:33+00:00,2026-04-28T03:19:15+00:00
IME-00112,INT-0047,MEC-0028,modulates,supporting,,,0.5695,,active,2026-04-27T21:44:33+00:00,2026-04-28T03:19:15+00:00
IME-00113,INT-0047,MEC-0030,modulates,supporting,,,0.6880,,active,2026-04-27T21:44:33+00:00,2026-04-28T03:19:15+00:00
IME-00114,INT-0007,MEC-0028,modulates,supporting,,,0.5486,,active,2026-04-27T21:44:33+00:00,2026-04-28T03:19:15+00:00
IME-00115,INT-0007,MEC-0030,modulates,supporting,,,0.6627,,active,2026-04-27T21:44:33+00:00,2026-04-28T03:19:15+00:00
IME-00116,INT-0036,MEC-0030,modulates,supporting,,,0.6874,,active,2026-04-27T21:44:33+00:00,2026-04-28T03:19:15+00:00
IME-00117,INT-0013,MEC-0029,modulates,supporting,,,0.6367,,active,2026-04-27T21:44:33+00:00,2026-04-28T03:19:15+00:00
IME-00118,INT-0035,MEC-0028,modulates,supporting,,,0.4873,,active,2026-04-27T21:44:33+00:00,2026-04-28T03:19:15+00:00
IME-00119,INT-0065,MEC-0028,modulates,supporting,,,0.5231,,active,2026-04-27T21:44:33+00:00,2026-04-28T03:19:15+00:00
IME-00120,INT-0033,MEC-0028,modulates,supporting,,,0.3723,,active,2026-04-27T21:44:33+00:00,2026-04-28T03:19:15+00:00
IME-00121,INT-0031,MEC-0028,modulates,supporting,,,0.4595,,active,2026-04-27T21:44:33+00:00,2026-04-28T03:19:15+00:00
IME-00122,INT-0034,MEC-0028,modulates,supporting,,,0.4725,,active,2026-04-27T21:44:33+00:00,2026-04-28T03:19:15+00:00
IME-00123,INT-0037,MEC-0030,modulates,supporting,,,0.6637,,active,2026-04-27T21:44:33+00:00,2026-04-28T03:19:15+00:00
IME-00124,INT-0026,MEC-0011,modulates,supporting,,,0.4700,,active,2026-04-27T21:44:33+00:00,2026-04-28T03:19:15+00:00
IME-00125,INT-0026,MEC-0030,modulates,supporting,,,0.4597,,active,2026-04-27T21:44:33+00:00,2026-04-28T03:19:15+00:00
IME-00126,INT-0028,MEC-0030,modulates,supporting,,,0.6050,,active,2026-04-27T21:44:33+00:00,2026-04-28T03:19:15+00:00
IME-00127,INT-0014,MEC-0031,modulates,supporting,,,0.4769,,active,2026-04-27T21:44:33+00:00,2026-04-28T03:19:15+00:00
IME-00128,INT-0014,MEC-0028,modulates,supporting,,,0.5190,,active,2026-04-27T21:44:33+00:00,2026-04-28T03:19:15+00:00
IME-00129,INT-0003,MEC-0029,modulates,supporting,,,0.5405,,active,2026-04-27T21:44:33+00:00,2026-04-28T03:19:15+00:00
IME-00130,INT-0092,MEC-0010,modulates,supporting,,,0.7000,,active,2026-04-27T22:00:07+00:00,2026-04-28T03:19:15+00:00
IME-00131,INT-0092,MEC-0002,modulates,supporting,,,0.7297,,active,2026-04-27T22:00:07+00:00,2026-04-28T03:19:15+00:00
IME-00132,INT-0092,MEC-0001,modulates,supporting,,,0.6768,,active,2026-04-27T22:00:07+00:00,2026-04-28T03:19:15+00:00
IME-00133,INT-0092,MEC-0027,modulates,supporting,,,0.6892,,active,2026-04-27T22:00:07+00:00,2026-04-28T03:19:15+00:00
IME-00134,INT-0093,MEC-0010,modulates,supporting,,,0.7238,,active,2026-04-27T22:00:07+00:00,2026-04-28T03:19:15+00:00
IME-00135,INT-0093,MEC-0001,modulates,supporting,,,0.6998,,active,2026-04-27T22:00:07+00:00,2026-04-28T03:19:15+00:00
IME-00136,INT-0093,MEC-0003,modulates,supporting,,,0.7094,,active,2026-04-27T22:00:07+00:00,2026-04-28T03:19:15+00:00
IME-00137,INT-0094,MEC-0010,modulates,supporting,,,0.7022,,active,2026-04-27T22:00:07+00:00,2026-04-28T03:19:15+00:00
IME-00138,INT-0094,MEC-0011,modulates,supporting,,,0.6598,,active,2026-04-27T22:00:07+00:00,2026-04-28T03:19:15+00:00
IME-00139,INT-0095,MEC-0014,modulates,supporting,,,0.6399,,active,2026-04-27T22:00:07+00:00,2026-04-28T03:19:15+00:00
IME-00140,INT-0095,MEC-0010,modulates,supporting,,,0.6685,,active,2026-04-27T22:00:07+00:00,2026-04-28T03:19:15+00:00
IME-00141,INT-0095,MEC-0030,modulates,supporting,,,0.6143,,active,2026-04-27T22:00:07+00:00,2026-04-28T03:19:15+00:00
IME-00142,INT-0096,MEC-0010,modulates,supporting,,,0.7317,,active,2026-04-27T22:00:07+00:00,2026-04-28T03:19:15+00:00
IME-00143,INT-0096,MEC-0011,modulates,supporting,,,0.6874,,active,2026-04-27T22:00:07+00:00,2026-04-28T03:19:15+00:00
IME-00144,INT-0096,MEC-0003,modulates,supporting,,,0.7171,,active,2026-04-27T22:00:07+00:00,2026-04-28T03:19:15+00:00
IME-00145,INT-0096,MEC-0031,modulates,supporting,,,0.5115,,active,2026-04-27T22:00:07+00:00,2026-04-28T03:19:15+00:00
IME-00146,INT-0096,MEC-0029,modulates,supporting,,,0.6194,,active,2026-04-27T22:00:07+00:00,2026-04-28T03:19:15+00:00
IME-00147,INT-0097,MEC-0033,modulates,supporting,,,0.3303,,active,2026-04-27T22:16:07+00:00,2026-04-28T03:19:15+00:00
IME-00148,INT-0097,MEC-0010,modulates,supporting,,,0.6695,,active,2026-04-27T22:16:07+00:00,2026-04-28T03:19:15+00:00
IME-00149,INT-0097,MEC-0002,modulates,supporting,,,0.6979,,active,2026-04-27T22:16:07+00:00,2026-04-28T03:19:15+00:00
IME-00150,INT-0098,MEC-0001,modulates,supporting,,,0.5707,,active,2026-04-27T22:16:07+00:00,2026-04-28T03:19:15+00:00
IME-00151,INT-0099,MEC-0001,modulates,supporting,,,0.6164,,active,2026-04-27T22:16:07+00:00,2026-04-28T03:19:15+00:00
