id,biomarker_id,phenotype_id,relationship_type,evidence_strength,created_at,notes
BPE-00001,BIO-0001,PHE-0001,stratifies,0.55,2026-04-30T14:23:27.613008+00:00,S-adenosylmethionine (SAM) stratifies PHE-0001
BPE-00002,BIO-0003,PHE-0001,stratifies,0.55,2026-04-30T14:23:27.613008+00:00,SAM/SAH ratio stratifies PHE-0001
BPE-00003,BIO-0015,PHE-0001,stratifies,0.65,2026-04-30T14:23:27.613008+00:00,FRAA (folate receptor alpha autoantibody) — blocking stratifies PHE-0001
BPE-00004,BIO-0016,PHE-0001,stratifies,0.65,2026-04-30T14:23:27.613008+00:00,FRAA (folate receptor alpha autoantibody) — binding stratifies PHE-0001
BPE-00005,BIO-0017,PHE-0001,stratifies,0.70,2026-04-30T14:23:27.613008+00:00,CSF 5-MTHF stratifies PHE-0001
BPE-00006,BIO-0011,PHE-0001,supports,0.35,2026-04-30T14:23:27.613008+00:00,Plasma folate supports PHE-0001
BPE-00007,BIO-0005,PHE-0001,supports,0.35,2026-04-30T14:23:27.613008+00:00,Homocysteine supports PHE-0001
BPE-00008,BIO-0046,PHE-0001,supports,0.45,2026-04-30T14:23:27.613008+00:00,Homovanillic acid (HVA) supports PHE-0001
BPE-00009,BIO-0048,PHE-0001,supports,0.45,2026-04-30T14:23:27.613008+00:00,5-hydroxyindoleacetic acid (5-HIAA) supports PHE-0001
BPE-00010,BIO-0089,PHE-0001,modifies_risk,0.40,2026-04-30T14:23:27.613008+00:00,Maternal MTHFR genotype modifies_risk PHE-0001
BPE-00011,BIO-0018,PHE-0002,stratifies,0.65,2026-04-30T14:23:27.613008+00:00,Lactate stratifies PHE-0002
BPE-00012,BIO-0019,PHE-0002,stratifies,0.55,2026-04-30T14:23:27.613008+00:00,Pyruvate stratifies PHE-0002
BPE-00013,BIO-0020,PHE-0002,stratifies,0.70,2026-04-30T14:23:27.613008+00:00,Lactate-to-pyruvate ratio (L:P) stratifies PHE-0002
BPE-00014,BIO-0021,PHE-0002,stratifies,0.60,2026-04-30T14:23:27.613008+00:00,Acylcarnitine profile stratifies PHE-0002
BPE-00015,BIO-0022,PHE-0002,stratifies,0.55,2026-04-30T14:23:27.613008+00:00,Free + total carnitine stratifies PHE-0002
BPE-00016,BIO-0023,PHE-0002,supports,0.40,2026-04-30T14:23:27.613008+00:00,Plasma ammonia supports PHE-0002
BPE-00017,BIO-0024,PHE-0002,supports,0.40,2026-04-30T14:23:27.613008+00:00,Creatine kinase (CK) supports PHE-0002
BPE-00018,BIO-0025,PHE-0002,supports,0.45,2026-04-30T14:23:27.613008+00:00,CoQ10 (ubiquinone) supports PHE-0002
BPE-00019,BIO-0026,PHE-0002,stratifies,0.55,2026-04-30T14:23:27.613008+00:00,mtDNA copy number stratifies PHE-0002
BPE-00020,BIO-0027,PHE-0002,supports,0.40,2026-04-30T14:23:27.613008+00:00,Krebs cycle metabolites (citrate/succinate/fumarate/malate) supports PHE-0002
BPE-00021,BIO-0028,PHE-0002,stratifies,0.55,2026-04-30T14:23:27.613008+00:00,Reduced glutathione (GSH) stratifies PHE-0002
BPE-00022,BIO-0029,PHE-0002,stratifies,0.55,2026-04-30T14:23:27.613008+00:00,Oxidized glutathione (GSSG) stratifies PHE-0002
BPE-00023,BIO-0030,PHE-0002,stratifies,0.65,2026-04-30T14:23:27.613008+00:00,GSH/GSSG ratio stratifies PHE-0002
BPE-00024,BIO-0031,PHE-0002,supports,0.40,2026-04-30T14:23:27.613008+00:00,8-hydroxy-2-deoxyguanosine (8-OHdG) supports PHE-0002
BPE-00025,BIO-0032,PHE-0002,supports,0.40,2026-04-30T14:23:27.613008+00:00,F2-isoprostanes supports PHE-0002
BPE-00026,BIO-0141,PHE-0002,supports,0.45,2026-04-30T14:23:27.613008+00:00,1H-MRS NAA / choline / creatine / glutamate-GABA supports PHE-0002
BPE-00027,BIO-0052,PHE-0003,stratifies,0.55,2026-04-30T14:23:27.613008+00:00,High-sensitivity CRP (hs-CRP) stratifies PHE-0003
BPE-00028,BIO-0053,PHE-0003,supports,0.40,2026-04-30T14:23:27.613008+00:00,ESR (erythrocyte sedimentation rate) supports PHE-0003
BPE-00029,BIO-0054,PHE-0003,stratifies,0.65,2026-04-30T14:23:27.613008+00:00,IL-6 (interleukin-6) stratifies PHE-0003
BPE-00030,BIO-0055,PHE-0003,stratifies,0.65,2026-04-30T14:23:27.613008+00:00,TNF-α (tumor necrosis factor alpha) stratifies PHE-0003
BPE-00031,BIO-0056,PHE-0003,stratifies,0.60,2026-04-30T14:23:27.613008+00:00,IL-1β (interleukin-1 beta) stratifies PHE-0003
BPE-00032,BIO-0057,PHE-0003,stratifies,0.55,2026-04-30T14:23:27.613008+00:00,IL-17 stratifies PHE-0003
BPE-00033,BIO-0058,PHE-0003,stratifies,0.55,2026-04-30T14:23:27.613008+00:00,IL-10 stratifies PHE-0003
BPE-00034,BIO-0059,PHE-0003,supports,0.45,2026-04-30T14:23:27.613008+00:00,IFN-γ (interferon gamma) supports PHE-0003
BPE-00035,BIO-0060,PHE-0003,supports,0.50,2026-04-30T14:23:27.613008+00:00,"Complement C3, C4 supports PHE-0003"
BPE-00036,BIO-0061,PHE-0003,supports,0.45,2026-04-30T14:23:27.613008+00:00,Total IgG / IgA / IgM / IgE + IgG subclasses supports PHE-0003
BPE-00037,BIO-0088,PHE-0003,stratifies,0.65,2026-04-30T14:23:27.613008+00:00,Maternal anti-fetal-brain antibodies (MAR Antibodies) stratifies PHE-0003
BPE-00038,BIO-0091,PHE-0003,modifies_risk,0.55,2026-04-30T14:23:27.613008+00:00,Maternal CRP during pregnancy modifies_risk PHE-0003
BPE-00039,BIO-0092,PHE-0003,modifies_risk,0.45,2026-04-30T14:23:27.613008+00:00,Maternal thyroid panel during pregnancy modifies_risk PHE-0003
BPE-00040,BIO-0142,PHE-0003,stratifies,0.55,2026-04-30T14:23:27.613008+00:00,PET-TSPO (translocator protein — microglial activation) stratifies PHE-0003
BPE-00041,BIO-0151,PHE-0003,stratifies,0.60,2026-04-30T14:23:27.613008+00:00,CSF cytokines stratifies PHE-0003
BPE-00042,BIO-0154,PHE-0003,supports,0.45,2026-04-30T14:23:27.613008+00:00,Serum S100β (astrocyte marker / BBB disruption) supports PHE-0003
BPE-00043,BIO-0155,PHE-0003,supports,0.45,2026-04-30T14:23:27.613008+00:00,Serum GFAP (glial fibrillary acidic protein) supports PHE-0003
BPE-00044,BIO-0156,PHE-0003,supports,0.40,2026-04-30T14:23:27.613008+00:00,Serum neurofilament light chain (NfL) supports PHE-0003
BPE-00045,BIO-0172,PHE-0003,stratifies,0.55,2026-04-30T14:23:27.613008+00:00,Anti-NMDA receptor antibodies stratifies PHE-0003
BPE-00046,BIO-0173,PHE-0003,supports,0.45,2026-04-30T14:23:27.613008+00:00,Anti-MOG (myelin oligodendrocyte glycoprotein) supports PHE-0003
BPE-00047,BIO-0133,PHE-0003,supports,0.45,2026-04-30T14:23:27.613008+00:00,ANA + extractable nuclear antigens supports PHE-0003
