id,combination_id,intervention_id,role,created_at
CMM-0001,COM-0001,INT-0001,,2026-04-24T17:07:31+00:00
CMM-0002,COM-0001,INT-0003,,2026-04-24T17:07:31+00:00
CMM-0003,COM-0001,INT-0004,,2026-04-24T17:07:31+00:00
CMM-0004,COM-0002,INT-0008,,2026-04-24T17:07:31+00:00
CMM-0005,COM-0004,INT-0009,,2026-04-24T17:07:31+00:00
CMM-0006,COM-0005,INT-0012,core,2026-04-27T22:00:07+00:00
CMM-0007,COM-0005,INT-0011,core,2026-04-27T22:00:07+00:00
CMM-0008,COM-0005,INT-0093,core,2026-04-27T22:00:07+00:00
CMM-0009,COM-0005,INT-0008,core,2026-04-27T22:00:07+00:00
CMM-0010,COM-0005,INT-0003,core,2026-04-27T22:00:07+00:00
CMM-0011,COM-0005,INT-0086,core,2026-04-27T22:00:07+00:00
CMM-0012,COM-0005,INT-0015,adjunct,2026-04-27T22:00:07+00:00
CMM-0013,COM-0005,INT-0016,adjunct,2026-04-27T22:00:07+00:00
CMM-0014,COM-0005,INT-0067,adjunct,2026-04-27T22:00:07+00:00
CMM-0015,COM-0005,INT-0013,adjunct,2026-04-27T22:00:07+00:00
CMM-0016,COM-0005,INT-0066,adjunct,2026-04-27T22:00:07+00:00
CMM-0017,COM-0005,INT-0030,adjunct,2026-04-27T22:00:07+00:00
CMM-0018,COM-0002,INT-0030,core,2026-04-28T03:18:47+00:00
CMM-0019,COM-0002,INT-0014,core,2026-04-28T03:18:47+00:00
CMM-0020,COM-0003,INT-0041,core,2026-04-28T03:18:47+00:00
CMM-0021,COM-0003,INT-0025,core,2026-04-28T03:18:47+00:00
CMM-0022,COM-0004,INT-0053,core,2026-04-28T03:18:47+00:00
CMM-0023,COM-0004,INT-0052,core,2026-04-28T03:18:47+00:00
CMM-0024,COM-0003,INT-0101,core,2026-04-28T14:50:45+00:00
CMM-0025,COM-0006,INT-0001,,2026-05-12T23:53:55.993028+00:00
CMM-0026,COM-0006,INT-0003,,2026-05-12T23:53:55.993028+00:00
CMM-0027,COM-0006,INT-0013,,2026-05-12T23:53:55.993028+00:00
CMM-0028,COM-0007,INT-0008,,2026-05-12T23:53:55.993028+00:00
CMM-0029,COM-0007,INT-0017,,2026-05-12T23:53:55.993028+00:00
CMM-0030,COM-0007,INT-0018,,2026-05-12T23:53:55.993028+00:00
CMM-0031,COM-0008,INT-0011,,2026-05-12T23:53:55.993028+00:00
CMM-0032,COM-0008,INT-0093,,2026-05-12T23:53:55.993028+00:00
CMM-0033,COM-0009,INT-0094,,2026-05-12T23:53:55.993028+00:00
CMM-0034,COM-0009,INT-0088,,2026-05-12T23:53:55.993028+00:00
CMM-0035,COM-0009,INT-0011,,2026-05-12T23:53:55.993028+00:00
CMM-0037,COM-0010,INT-0014,,2026-05-12T23:53:55.993028+00:00
CMM-0038,COM-0011,INT-0002,,2026-05-12T23:53:55.993028+00:00
CMM-0039,COM-0011,INT-0004,,2026-05-12T23:53:55.993028+00:00
CMM-0040,COM-0012,INT-0029,,2026-05-12T23:53:55.993028+00:00
CMM-0041,COM-0013,INT-0077,,2026-05-12T23:53:55.993028+00:00
CMM-0042,COM-0013,INT-0101,,2026-05-12T23:53:55.993028+00:00
CMM-0043,COM-0013,INT-0016,,2026-05-12T23:53:55.993028+00:00
CMM-0044,COM-0014,INT-0025,,2026-05-12T23:53:55.993028+00:00
CMM-0045,COM-0014,INT-0101,,2026-05-12T23:53:55.993028+00:00
CMM-0046,COM-0015,INT-0076,,2026-05-12T23:53:55.993028+00:00
CMM-0047,COM-0015,INT-0077,,2026-05-12T23:53:55.993028+00:00
CMM-0048,COM-0015,INT-0006,,2026-05-12T23:53:55.993028+00:00
CMM-0049,COM-0016,INT-0015,,2026-05-12T23:53:55.993028+00:00
CMM-0050,COM-0016,INT-0034,,2026-05-12T23:53:55.993028+00:00
CMM-0052,COM-0018,INT-0046,,2026-05-12T23:53:55.993028+00:00
CMM-0053,COM-0018,INT-0015,,2026-05-12T23:53:55.993028+00:00
CMM-0054,COM-0019,INT-0006,,2026-05-12T23:53:55.993028+00:00
CMM-0055,COM-0019,INT-0029,,2026-05-12T23:53:55.993028+00:00
CMM-0056,COM-0020,INT-0013,,2026-05-12T23:53:55.993028+00:00
CMM-0057,COM-0020,INT-0016,,2026-05-12T23:53:55.993028+00:00
CMM-0058,COM-0021,INT-0008,,2026-05-12T23:53:55.993028+00:00
CMM-0059,COM-0021,INT-0014,,2026-05-12T23:53:55.993028+00:00
CMM-0060,COM-0021,INT-0030,,2026-05-12T23:53:55.993028+00:00
CMM-0062,COM-0023,INT-0014,,2026-05-12T23:53:55.993028+00:00
CMM-0064,COM-0024,INT-0016,,2026-05-12T23:53:55.993028+00:00
CMM-0065,COM-0024,INT-0067,,2026-05-12T23:53:55.993028+00:00
CMM-0066,COM-0024,INT-0011,,2026-05-12T23:53:55.993028+00:00
CMM-0067,COM-0025,INT-0008,,2026-05-12T23:53:55.993028+00:00
CMM-0068,COM-0025,INT-0017,,2026-05-12T23:53:55.993028+00:00
CMM-0069,COM-0025,INT-0014,,2026-05-12T23:53:55.993028+00:00
CMM-0070,COM-0025,INT-0030,,2026-05-12T23:53:55.993028+00:00
CMM-0071,COM-0008,INT-0012,,2026-05-13T00:19:55.094947+00:00
CMM-0072,COM-0010,INT-0027,,2026-05-13T00:19:55.094947+00:00
CMM-0073,COM-0010,INT-0029,,2026-05-13T00:19:55.094947+00:00
CMM-0074,COM-0011,INT-0020,,2026-05-13T00:19:55.094947+00:00
CMM-0075,COM-0012,INT-0106,,2026-05-13T00:19:55.094947+00:00
CMM-0076,COM-0016,INT-0145,,2026-05-13T00:19:55.094947+00:00
CMM-0077,COM-0017,INT-0140,,2026-05-13T00:19:55.094947+00:00
CMM-0078,COM-0017,INT-0023,,2026-05-13T00:19:55.094947+00:00
CMM-0079,COM-0017,INT-0015,,2026-05-13T00:19:55.094947+00:00
CMM-0080,COM-0018,INT-0145,,2026-05-13T00:19:55.094947+00:00
CMM-0081,COM-0019,INT-0103,,2026-05-13T00:19:55.094947+00:00
CMM-0082,COM-0022,INT-0020,,2026-05-13T00:19:55.094947+00:00
CMM-0083,COM-0023,INT-0073,,2026-05-13T00:19:55.094947+00:00
CMM-0084,COM-0023,INT-0048,,2026-05-13T00:19:55.094947+00:00
CMM-0085,COM-0024,INT-0012,,2026-05-13T00:19:55.094947+00:00
