id,intervention_id,mechanism_id,relation_type,polarity,evidence_for_count,evidence_against_count,evidence_strength_aggregate,context_scope,status,created_at,last_updated
IME-00001,INT-0001,MEC-0003,modulates,unknown,,,0.6898,,active,2026-04-24T17:07:31+00:00,2026-04-27T22:29:21+00:00
IME-00002,INT-0001,MEC-0004,modulates,unknown,,,0.7025,,active,2026-04-24T17:07:31+00:00,2026-04-27T22:29:21+00:00
IME-00003,INT-0002,MEC-0001,modulates,unknown,,,0.6399,,active,2026-04-24T17:07:31+00:00,2026-04-27T22:29:21+00:00
IME-00004,INT-0002,MEC-0010,modulates,unknown,,,0.6619,,active,2026-04-24T17:07:31+00:00,2026-04-27T22:29:21+00:00
IME-00005,INT-0003,MEC-0003,modulates,unknown,,,0.5225,,active,2026-04-24T17:07:31+00:00,2026-04-27T22:29:21+00:00
IME-00006,INT-0004,MEC-0001,modulates,unknown,,,0.5216,,active,2026-04-24T17:07:31+00:00,2026-04-27T22:29:21+00:00
IME-00007,INT-0004,MEC-0007,modulates,unknown,,,0.4810,,active,2026-04-24T17:07:31+00:00,2026-04-27T22:29:21+00:00
IME-00008,INT-0005,MEC-0007,modulates,unknown,,,0.4658,,active,2026-04-24T17:07:31+00:00,2026-04-27T22:29:21+00:00
IME-00009,INT-0006,MEC-0002,modulates,unknown,,,0.5653,,active,2026-04-24T17:07:31+00:00,2026-04-27T22:29:21+00:00
IME-00010,INT-0006,MEC-0005,modulates,unknown,,,0.5266,,active,2026-04-24T17:07:31+00:00,2026-04-27T22:29:21+00:00
IME-00011,INT-0007,MEC-0002,modulates,unknown,,,0.6301,,active,2026-04-24T17:07:31+00:00,2026-04-27T22:29:21+00:00
IME-00012,INT-0007,MEC-0007,modulates,unknown,,,0.5390,,active,2026-04-24T17:07:31+00:00,2026-04-27T22:29:21+00:00
IME-00013,INT-0007,MEC-0010,modulates,unknown,,,0.6045,,active,2026-04-24T17:07:31+00:00,2026-04-27T22:29:21+00:00
IME-00014,INT-0008,MEC-0003,modulates,unknown,,,0.6627,,active,2026-04-24T17:07:31+00:00,2026-04-27T22:29:21+00:00
IME-00015,INT-0010,MEC-0001,modulates,unknown,,,0.4054,,active,2026-04-24T17:07:31+00:00,2026-04-27T22:29:21+00:00
IME-00016,INT-0010,MEC-0003,modulates,unknown,,,0.4110,,active,2026-04-24T17:07:31+00:00,2026-04-27T22:29:21+00:00
IME-00017,INT-0011,MEC-0010,modulates,unknown,,,0.5459,,active,2026-04-24T17:07:31+00:00,2026-04-27T22:29:21+00:00
IME-00018,INT-0012,MEC-0010,modulates,unknown,,,0.5330,,active,2026-04-24T17:07:31+00:00,2026-04-27T22:29:21+00:00
IME-00019,INT-0014,MEC-0002,modulates,unknown,,,0.5952,,active,2026-04-24T17:07:31+00:00,2026-04-27T22:29:21+00:00
IME-00020,INT-0015,MEC-0007,modulates,unknown,,,0.5493,,active,2026-04-24T17:07:31+00:00,2026-04-27T22:29:21+00:00
IME-00021,INT-0017,MEC-0003,modulates,unknown,,,0.5205,,active,2026-04-24T17:07:31+00:00,2026-04-27T22:29:21+00:00
IME-00022,INT-0017,MEC-0007,modulates,unknown,,,0.4735,,active,2026-04-24T17:07:31+00:00,2026-04-27T22:29:21+00:00
IME-00023,INT-0018,MEC-0003,modulates,unknown,,,0.4208,,active,2026-04-24T17:07:31+00:00,2026-04-27T22:29:21+00:00
IME-00024,INT-0019,MEC-0003,modulates,unknown,,,0.3961,,active,2026-04-24T17:07:31+00:00,2026-04-27T22:29:21+00:00
IME-00025,INT-0020,MEC-0001,modulates,unknown,,,0.5256,,active,2026-04-24T17:07:31+00:00,2026-04-27T22:29:21+00:00
IME-00026,INT-0023,MEC-0007,modulates,unknown,,,0.4801,,active,2026-04-24T17:07:31+00:00,2026-04-27T22:29:21+00:00
IME-00027,INT-0025,MEC-0008,modulates,unknown,,,0.6593,,active,2026-04-24T17:07:31+00:00,2026-04-27T22:29:21+00:00
IME-00028,INT-0026,MEC-0008,modulates,unknown,,,0.4192,,active,2026-04-24T17:07:31+00:00,2026-04-27T22:29:21+00:00
IME-00029,INT-0027,MEC-0002,modulates,unknown,,,0.5698,,active,2026-04-24T17:07:31+00:00,2026-04-27T22:29:21+00:00
IME-00030,INT-0027,MEC-0004,modulates,unknown,,,0.5456,,active,2026-04-24T17:07:31+00:00,2026-04-27T22:29:21+00:00
IME-00031,INT-0027,MEC-0005,modulates,unknown,,,0.5308,,active,2026-04-24T17:07:31+00:00,2026-04-27T22:29:21+00:00
IME-00032,INT-0028,MEC-0009,modulates,unknown,,,0.3805,,active,2026-04-24T17:07:31+00:00,2026-04-27T22:29:21+00:00
IME-00033,INT-0028,MEC-0010,modulates,unknown,,,0.5503,,active,2026-04-24T17:07:31+00:00,2026-04-27T22:29:21+00:00
IME-00034,INT-0030,MEC-0003,modulates,unknown,,,0.6038,,active,2026-04-24T17:07:31+00:00,2026-04-27T22:29:21+00:00
IME-00035,INT-0032,MEC-0007,modulates,unknown,,,0.3508,,active,2026-04-24T17:07:31+00:00,2026-04-27T22:29:21+00:00
IME-00036,INT-0035,MEC-0007,modulates,unknown,,,0.4769,,active,2026-04-24T17:07:31+00:00,2026-04-27T22:29:21+00:00
IME-00037,INT-0036,MEC-0009,modulates,unknown,,,0.4340,,active,2026-04-24T17:07:31+00:00,2026-04-27T22:29:21+00:00
IME-00038,INT-0037,MEC-0008,modulates,unknown,,,0.6147,,active,2026-04-24T17:07:31+00:00,2026-04-27T22:29:21+00:00
IME-00039,INT-0039,MEC-0007,modulates,unknown,,,0.3378,,active,2026-04-24T17:07:31+00:00,2026-04-27T22:29:21+00:00
IME-00040,INT-0042,MEC-0008,modulates,unknown,,,0.5302,,active,2026-04-24T17:07:31+00:00,2026-04-27T22:29:21+00:00
IME-00041,INT-0043,MEC-0007,modulates,unknown,,,0.3732,,active,2026-04-24T17:07:31+00:00,2026-04-27T22:29:21+00:00
IME-00042,INT-0044,MEC-0001,modulates,unknown,,,0.4149,,active,2026-04-24T17:07:31+00:00,2026-04-27T22:29:21+00:00
IME-00043,INT-0045,MEC-0010,modulates,unknown,,,0.4111,,active,2026-04-24T17:07:31+00:00,2026-04-27T22:29:21+00:00
IME-00044,INT-0047,MEC-0002,modulates,unknown,,,0.6549,,active,2026-04-24T17:07:31+00:00,2026-04-27T22:29:21+00:00
IME-00045,INT-0050,MEC-0001,modulates,unknown,,,0.4361,,active,2026-04-24T17:07:31+00:00,2026-04-27T22:29:21+00:00
IME-00046,INT-0055,MEC-0010,modulates,unknown,,,0.4908,,active,2026-04-24T17:07:31+00:00,2026-04-27T22:29:21+00:00
IME-00047,INT-0056,MEC-0008,modulates,unknown,,,0.4339,,active,2026-04-24T17:07:31+00:00,2026-04-27T22:29:21+00:00
IME-00048,INT-0057,MEC-0002,modulates,unknown,,,0.4603,,active,2026-04-24T17:07:31+00:00,2026-04-27T22:29:21+00:00
IME-00049,INT-0058,MEC-0003,modulates,unknown,,,0.4168,,active,2026-04-24T17:07:31+00:00,2026-04-27T22:29:21+00:00
