id,biomarker_id,hypothesis_id,relationship_type,evidence_strength,created_at,notes
BHE-00001,BIO-0001,HYP-0001,tests,0.50,2026-04-30T02:06:58+00:00,S-adenosylmethionine (SAM) tests HYP-0001
BHE-00002,BIO-0002,HYP-0001,tests,0.50,2026-04-30T02:06:58+00:00,S-adenosylhomocysteine (SAH) tests HYP-0001
BHE-00003,BIO-0003,HYP-0001,tests,0.50,2026-04-30T02:06:58+00:00,SAM/SAH ratio tests HYP-0001
BHE-00004,BIO-0003,HYP-0003,tests,0.50,2026-04-30T02:06:58+00:00,SAM/SAH ratio tests HYP-0003
BHE-00005,BIO-0004,HYP-0001,tests,0.50,2026-04-30T02:06:58+00:00,Plasma methionine tests HYP-0001
BHE-00006,BIO-0005,HYP-0001,tests,0.50,2026-04-30T02:06:58+00:00,Homocysteine tests HYP-0001
BHE-00007,BIO-0005,HYP-0003,tests,0.50,2026-04-30T02:06:58+00:00,Homocysteine tests HYP-0003
BHE-00008,BIO-0006,HYP-0063,tests,0.50,2026-04-30T02:06:58+00:00,Cysteine tests HYP-0063
BHE-00009,BIO-0008,HYP-0001,tests,0.50,2026-04-30T02:06:58+00:00,Methylmalonic acid (MMA) tests HYP-0001
BHE-00010,BIO-0011,HYP-0003,tests,0.50,2026-04-30T02:06:58+00:00,Plasma folate tests HYP-0003
BHE-00011,BIO-0012,HYP-0003,tests,0.50,2026-04-30T02:06:58+00:00,RBC folate tests HYP-0003
BHE-00012,BIO-0014,HYP-0001,tests,0.50,2026-04-30T02:06:58+00:00,Whole-blood histamine tests HYP-0001
BHE-00013,BIO-0015,HYP-0001,tests,0.50,2026-04-30T02:06:58+00:00,FRAA (folate receptor alpha autoantibody) — blocking tests HYP-0001
BHE-00014,BIO-0016,HYP-0001,tests,0.50,2026-04-30T02:06:58+00:00,FRAA (folate receptor alpha autoantibody) — binding tests HYP-0001
BHE-00015,BIO-0017,HYP-0001,tests,0.50,2026-04-30T02:06:58+00:00,CSF 5-MTHF tests HYP-0001
BHE-00016,BIO-0018,HYP-0006,tests,0.50,2026-04-30T02:06:58+00:00,Lactate tests HYP-0006
BHE-00017,BIO-0018,HYP-0070,tests,0.50,2026-04-30T02:06:58+00:00,Lactate tests HYP-0070
BHE-00018,BIO-0019,HYP-0006,tests,0.50,2026-04-30T02:06:58+00:00,Pyruvate tests HYP-0006
BHE-00019,BIO-0019,HYP-0070,tests,0.50,2026-04-30T02:06:58+00:00,Pyruvate tests HYP-0070
