id,drug_or_intervention_id,drug_class,gene,variant_phenotype_class,variant_definition_summary,recommendation_modifier,log_odds_efficacy_modifier,log_odds_adverse_event_modifier,primary_pmid,countervailing_evidence_pmids,evidence_balance,autism_relevance,status,created_at,notes
PGX-0001,paroxetine,ssri,CYP2D6,poor_metabolizer,"0 functional alleles (e.g., *3/*4, *4/*4, *5/*5)",alternative_drug_or_dose_reduce_50pct,0.0,0.4,37032427,,1,paroxetine prescribed for non-autism comorbid indication; PGx caution per CPIC,active,2026-04-30,Bousman 2023 CPIC SSRI/SNRI guideline. CYP2D6 PM → consider alternative drug or 50% dose reduction.
PGX-0002,paroxetine,ssri,CYP2D6,ultrarapid_metabolizer,"≥3 functional alleles or duplications (e.g., *1/*1xN, *2/*2xN)",alternative_drug,-0.3,-0.1,37032427,,1,same caveat as PGX-0001,active,2026-04-30,Bousman 2023 CPIC. CYP2D6 UM → alternative drug recommended; reduced efficacy expected.
PGX-0003,fluoxetine,ssri,CYP2D6,poor_metabolizer,0 functional alleles,use_with_caution_consider_alternative,0.0,0.3,37032427,,1,same caveat,active,2026-04-30,Bousman 2023 CPIC. Fluoxetine has long half-life and active metabolites; PM cumulative effects.
PGX-0004,citalopram,ssri,CYP2C19,poor_metabolizer,"0 functional alleles (*2/*2, *2/*3, *3/*3)",dose_reduce_50pct_or_alternative,0.0,0.5,37032427,,1,citalopram for non-autism indication; CYP2C19 PM raises QT-prolongation risk,active,2026-04-30,Bousman 2023 CPIC. CYP2C19 PM + citalopram → 50% dose reduction; FDA black-box for QT.
PGX-0005,escitalopram,ssri,CYP2C19,poor_metabolizer,0 functional alleles,dose_reduce_50pct_or_alternative,0.0,0.45,37032427,,1,same caveat,active,2026-04-30,Bousman 2023 CPIC. Escitalopram PM → 50% dose reduction or alternative.
PGX-0006,citalopram,ssri,CYP2C19,ultrarapid_metabolizer,*17/*17 or compound,alternative_drug,-0.3,-0.1,37032427,,1,same caveat,active,2026-04-30,Bousman 2023 CPIC. CYP2C19 UM → alternative; reduced efficacy.
PGX-0007,sertraline,ssri,CYP2C19,poor_metabolizer,0 functional alleles,dose_reduce_50pct,0.0,0.3,37032427,,1,same caveat,active,2026-04-30,Bousman 2023 CPIC. Sertraline CYP2C19 PM → 50% dose reduction.
PGX-0008,amitriptyline,tricyclic_antidepressant,CYP2D6,poor_metabolizer,0 functional alleles,alternative_drug_or_dose_reduce_50pct,0.0,0.5,27997040,,1,"TCAs sometimes used for sleep, mood, neuropathic pain in autistic individuals; PGx safety",active,2026-04-30,Hicks 2017 CPIC TCA. CYP2D6 PM → alternative or 50% dose reduce. Cardiotoxicity risk.
PGX-0009,nortriptyline,tricyclic_antidepressant,CYP2D6,ultrarapid_metabolizer,≥3 functional alleles,alternative_drug,-0.4,0.0,27997040,,1,same caveat,active,2026-04-30,Hicks 2017 CPIC TCA. CYP2D6 UM → subtherapeutic levels; alternative.
PGX-0010,clomipramine,tricyclic_antidepressant,CYP2C19,poor_metabolizer,0 functional alleles,dose_reduce_50pct,0.0,0.4,27997040,,1,clomipramine sometimes used for severe OCD in autistic individuals,active,2026-04-30,Hicks 2017 CPIC TCA. CYP2C19 PM → 50% dose reduce.
PGX-0011,codeine,opioid,CYP2D6,ultrarapid_metabolizer,≥3 functional alleles,contraindicated,0.0,1.5,33387367,,1,post-surgical pain control; UM converts codeine→morphine rapidly causing respiratory depression,active,2026-04-30,Crews 2021 CPIC opioid. CYP2D6 UM + codeine = AVOID. FDA black-box especially in children. Major safety concern.
